Province,Annee,EmissionGES_MtCO2e
AB,2023,260.08
AB,2024,260.14
AB,2025,
BC,2023,57.61
BC,2024,56.6
BC,2025,
MB,2023,20.92
MB,2024,21.4
MB,2025,
NB,2023,11.45
NB,2024,12.76
NB,2025,
NL,2023,8.09
NL,2024,8.62
NL,2025,
NS,2023,13.41
NS,2024,13.69
NS,2025,
NT,2023,1.36
NT,2024,1.35
NT,2025,
NU,2023,0.88
NU,2024,0.93
NU,2025,
ON,2023,159.77
ON,2024,157.81
ON,2025,
PE,2023,1.54
PE,2024,1.49
PE,2025,
QC,2023,77.68
QC,2024,77.53
QC,2025,
SK,2023,73.41
SK,2024,71.66
SK,2025,
YT,2023,0.67
YT,2024,0.72
YT,2025,
