Province,Annee,Mois,PrecipitationMoyenne,NombreStations,FichierSource
AB,2000,1,22.32036199095023,221,fr_climat_sommaires_AB_01-2000.csv
AB,2000,2,18.02850678733032,221,fr_climat_sommaires_AB_02-2000.csv
AB,2000,3,27.821777777777775,225,fr_climat_sommaires_AB_03-2000.csv
AB,2000,4,26.162458471760797,301,fr_climat_sommaires_AB_04-2000.csv
AB,2000,5,51.05135135135136,407,fr_climat_sommaires_AB_05-2000.csv
AB,2000,6,77.15853080568719,422,fr_climat_sommaires_AB_06-2000.csv
AB,2000,7,85.66148325358851,418,fr_climat_sommaires_AB_07-2000.csv
AB,2000,8,62.4916067146283,417,fr_climat_sommaires_AB_08-2000.csv
AB,2000,9,48.011977715877435,359,fr_climat_sommaires_AB_09-2000.csv
AB,2000,10,9.343220338983048,236,fr_climat_sommaires_AB_10-2000.csv
AB,2000,11,11.772769953051643,213,fr_climat_sommaires_AB_11-2000.csv
AB,2000,12,16.701449275362318,207,fr_climat_sommaires_AB_12-2000.csv
AB,2001,1,5.850833333333333,240,fr_climat_sommaires_AB_01-2001.csv
AB,2001,2,15.654502369668249,211,fr_climat_sommaires_AB_02-2001.csv
AB,2001,3,13.98965517241379,232,fr_climat_sommaires_AB_03-2001.csv
AB,2001,4,23.95940594059406,303,fr_climat_sommaires_AB_04-2001.csv
AB,2001,5,32.23890410958904,365,fr_climat_sommaires_AB_05-2001.csv
AB,2001,6,83.3215736040609,394,fr_climat_sommaires_AB_06-2001.csv
AB,2001,7,103.64849246231155,398,fr_climat_sommaires_AB_07-2001.csv
AB,2001,8,24.064337349397594,415,fr_climat_sommaires_AB_08-2001.csv
AB,2001,9,19.7528,375,fr_climat_sommaires_AB_09-2001.csv
AB,2001,10,16.711450381679388,262,fr_climat_sommaires_AB_10-2001.csv
AB,2001,11,26.84320987654321,243,fr_climat_sommaires_AB_11-2001.csv
AB,2001,12,9.713004484304932,223,fr_climat_sommaires_AB_12-2001.csv
AB,2002,1,23.41506276150628,239,fr_climat_sommaires_AB_01-2002.csv
AB,2002,2,21.264705882352942,238,fr_climat_sommaires_AB_02-2002.csv
AB,2002,3,37.01818181818182,253,fr_climat_sommaires_AB_03-2002.csv
AB,2002,4,34.71046511627907,258,fr_climat_sommaires_AB_04-2002.csv
AB,2002,5,39.489405684754516,387,fr_climat_sommaires_AB_05-2002.csv
AB,2002,6,65.2186440677966,413,fr_climat_sommaires_AB_06-2002.csv
AB,2002,7,60.32233009708739,412,fr_climat_sommaires_AB_07-2002.csv
AB,2002,8,56.80171149144254,409,fr_climat_sommaires_AB_08-2002.csv
AB,2002,9,51.169060773480666,362,fr_climat_sommaires_AB_09-2002.csv
AB,2002,10,23.293693693693697,222,fr_climat_sommaires_AB_10-2002.csv
AB,2002,11,13.114767932489455,237,fr_climat_sommaires_AB_11-2002.csv
AB,2002,12,11.458943089430893,246,fr_climat_sommaires_AB_12-2002.csv
AB,2003,1,30.248582995951416,247,fr_climat_sommaires_AB_01-2003.csv
AB,2003,2,28.10202429149798,247,fr_climat_sommaires_AB_02-2003.csv
AB,2003,3,35.77044534412955,247,fr_climat_sommaires_AB_03-2003.csv
AB,2003,4,54.189375,320,fr_climat_sommaires_AB_04-2003.csv
AB,2003,5,45.1149625935162,401,fr_climat_sommaires_AB_05-2003.csv
AB,2003,6,75.93937198067633,414,fr_climat_sommaires_AB_06-2003.csv
AB,2003,7,46.7652278177458,417,fr_climat_sommaires_AB_07-2003.csv
AB,2003,8,42.065384615384616,416,fr_climat_sommaires_AB_08-2003.csv
AB,2003,9,36.629629629629626,378,fr_climat_sommaires_AB_09-2003.csv
AB,2003,10,38.51732283464567,254,fr_climat_sommaires_AB_10-2003.csv
AB,2003,11,28.839607843137255,255,fr_climat_sommaires_AB_11-2003.csv
AB,2003,12,8.63976377952756,254,fr_climat_sommaires_AB_12-2003.csv
AB,2004,1,32.11566265060241,249,fr_climat_sommaires_AB_01-2004.csv
AB,2004,2,4.569098712446351,233,fr_climat_sommaires_AB_02-2004.csv
AB,2004,3,23.88346153846154,260,fr_climat_sommaires_AB_03-2004.csv
AB,2004,4,20.441503267973857,306,fr_climat_sommaires_AB_04-2004.csv
AB,2004,5,61.205911330049254,406,fr_climat_sommaires_AB_05-2004.csv
AB,2004,6,61.716953316953315,407,fr_climat_sommaires_AB_06-2004.csv
AB,2004,7,93.16486486486488,407,fr_climat_sommaires_AB_07-2004.csv
AB,2004,8,84.99735449735451,378,fr_climat_sommaires_AB_08-2004.csv
AB,2004,9,55.0051282051282,312,fr_climat_sommaires_AB_09-2004.csv
AB,2004,10,33.17391304347826,276,fr_climat_sommaires_AB_10-2004.csv
AB,2004,11,13.913011152416358,269,fr_climat_sommaires_AB_11-2004.csv
AB,2004,12,31.761742424242424,264,fr_climat_sommaires_AB_12-2004.csv
AB,2005,1,24.63529411764706,255,fr_climat_sommaires_AB_01-2005.csv
AB,2005,2,17.185823754789272,261,fr_climat_sommaires_AB_02-2005.csv
AB,2005,3,30.871314741035857,251,fr_climat_sommaires_AB_03-2005.csv
AB,2005,4,17.151327433628317,339,fr_climat_sommaires_AB_04-2005.csv
AB,2005,5,44.14512820512821,390,fr_climat_sommaires_AB_05-2005.csv
AB,2005,6,153.93689567430025,393,fr_climat_sommaires_AB_06-2005.csv
AB,2005,7,65.63359173126616,387,fr_climat_sommaires_AB_07-2005.csv
AB,2005,8,81.25350649350649,385,fr_climat_sommaires_AB_08-2005.csv
AB,2005,9,62.851764705882346,340,fr_climat_sommaires_AB_09-2005.csv
AB,2005,10,27.306289308176105,159,fr_climat_sommaires_AB_10-2005.csv
AB,2005,11,18.489075630252103,238,fr_climat_sommaires_AB_11-2005.csv
AB,2005,12,10.754430379746836,237,fr_climat_sommaires_AB_12-2005.csv
AB,2006,1,17.356444444444445,225,fr_climat_sommaires_AB_01-2006.csv
AB,2006,2,22.57685589519651,229,fr_climat_sommaires_AB_02-2006.csv
AB,2006,3,24.00588235294118,221,fr_climat_sommaires_AB_03-2006.csv
AB,2006,4,24.58468085106383,235,fr_climat_sommaires_AB_04-2006.csv
AB,2006,5,61.01043956043957,364,fr_climat_sommaires_AB_05-2006.csv
AB,2006,6,70.55,120,fr_climat_sommaires_AB_06-2006.csv
AB,2006,7,54.36470588235294,119,fr_climat_sommaires_AB_07-2006.csv
AB,2006,8,43.301694915254224,118,fr_climat_sommaires_AB_08-2006.csv
AB,2006,9,53.47073170731707,123,fr_climat_sommaires_AB_09-2006.csv
AB,2006,10,33.296,225,fr_climat_sommaires_AB_10-2006.csv
AB,2006,11,37.93811659192826,223,fr_climat_sommaires_AB_11-2006.csv
AB,2006,12,11.973275862068967,232,fr_climat_sommaires_AB_12-2006.csv
AB,2007,1,15.478695652173911,230,fr_climat_sommaires_AB_01-2007.csv
AB,2007,2,25.378125,224,fr_climat_sommaires_AB_02-2007.csv
AB,2007,3,22.963876651982375,227,fr_climat_sommaires_AB_03-2007.csv
AB,2007,4,38.44197530864198,243,fr_climat_sommaires_AB_04-2007.csv
AB,2007,5,66.38005617977528,356,fr_climat_sommaires_AB_05-2007.csv
AB,2007,6,88.38753315649868,377,fr_climat_sommaires_AB_06-2007.csv
AB,2007,7,40.17289972899729,369,fr_climat_sommaires_AB_07-2007.csv
AB,2007,8,68.10296495956874,371,fr_climat_sommaires_AB_08-2007.csv
AB,2007,9,34.679816513761466,327,fr_climat_sommaires_AB_09-2007.csv
AB,2007,10,14.966197183098592,213,fr_climat_sommaires_AB_10-2007.csv
AB,2007,11,16.610679611650486,206,fr_climat_sommaires_AB_11-2007.csv
AB,2007,12,14.939639639639637,111,fr_climat_sommaires_AB_12-2007.csv
AB,2008,1,16.03875,160,fr_climat_sommaires_AB_01-2008.csv
AB,2008,2,13.86038961038961,154,fr_climat_sommaires_AB_02-2008.csv
AB,2008,3,11.881290322580645,155,fr_climat_sommaires_AB_03-2008.csv
AB,2008,4,25.339267015706806,191,fr_climat_sommaires_AB_04-2008.csv
AB,2008,5,45.48956834532374,278,fr_climat_sommaires_AB_05-2008.csv
AB,2008,6,66.5979094076655,287,fr_climat_sommaires_AB_06-2008.csv
AB,2008,7,61.25979381443298,291,fr_climat_sommaires_AB_07-2008.csv
AB,2008,8,53.20383275261324,287,fr_climat_sommaires_AB_08-2008.csv
AB,2008,9,26.500386100386102,259,fr_climat_sommaires_AB_09-2008.csv
AB,2008,10,9.018320610687024,131,fr_climat_sommaires_AB_10-2008.csv
AB,2008,11,13.366911764705883,136,fr_climat_sommaires_AB_11-2008.csv
AB,2008,12,29.203546099290786,141,fr_climat_sommaires_AB_12-2008.csv
AB,2009,1,19.11911764705882,136,fr_climat_sommaires_AB_01-2009.csv
AB,2009,2,14.888281249999999,128,fr_climat_sommaires_AB_02-2009.csv
AB,2009,3,20.902898550724633,138,fr_climat_sommaires_AB_03-2009.csv
AB,2009,4,21.618367346938776,196,fr_climat_sommaires_AB_04-2009.csv
AB,2009,5,16.369924812030074,266,fr_climat_sommaires_AB_05-2009.csv
AB,2009,6,42.232971014492755,276,fr_climat_sommaires_AB_06-2009.csv
AB,2009,7,78.97883211678833,274,fr_climat_sommaires_AB_07-2009.csv
AB,2009,8,45.58029197080292,274,fr_climat_sommaires_AB_08-2009.csv
AB,2009,9,21.424380165289257,242,fr_climat_sommaires_AB_09-2009.csv
AB,2009,10,34.0258064516129,124,fr_climat_sommaires_AB_10-2009.csv
AB,2009,11,9.723478260869568,115,fr_climat_sommaires_AB_11-2009.csv
AB,2009,12,22.605600000000006,125,fr_climat_sommaires_AB_12-2009.csv
AB,2010,1,12.451666666666666,120,fr_climat_sommaires_AB_01-2010.csv
AB,2010,2,4.504273504273504,117,fr_climat_sommaires_AB_02-2010.csv
AB,2010,3,8.10508474576271,118,fr_climat_sommaires_AB_03-2010.csv
AB,2010,4,26.56820276497696,217,fr_climat_sommaires_AB_04-2010.csv
AB,2010,5,56.468093385214004,257,fr_climat_sommaires_AB_05-2010.csv
AB,2010,6,63.44377358490566,265,fr_climat_sommaires_AB_06-2010.csv
AB,2010,7,62.58792452830188,265,fr_climat_sommaires_AB_07-2010.csv
AB,2010,8,60.76425855513308,263,fr_climat_sommaires_AB_08-2010.csv
AB,2010,9,42.24907407407407,216,fr_climat_sommaires_AB_09-2010.csv
AB,2010,10,8.61293103448276,116,fr_climat_sommaires_AB_10-2010.csv
AB,2010,11,19.023684210526316,114,fr_climat_sommaires_AB_11-2010.csv
AB,2010,12,16.19203539823009,113,fr_climat_sommaires_AB_12-2010.csv
AB,2011,1,35.49411764705882,119,fr_climat_sommaires_AB_01-2011.csv
AB,2011,2,16.97586206896552,116,fr_climat_sommaires_AB_02-2011.csv
AB,2011,3,17.820833333333333,120,fr_climat_sommaires_AB_03-2011.csv
AB,2011,4,31.77999999999999,140,fr_climat_sommaires_AB_04-2011.csv
AB,2011,5,39.23872340425532,235,fr_climat_sommaires_AB_05-2011.csv
AB,2011,6,104.48641509433963,265,fr_climat_sommaires_AB_06-2011.csv
AB,2011,7,100.0841085271318,258,fr_climat_sommaires_AB_07-2011.csv
AB,2011,8,35.41368821292775,263,fr_climat_sommaires_AB_08-2011.csv
AB,2011,9,8.834545454545454,220,fr_climat_sommaires_AB_09-2011.csv
AB,2011,10,21.20333333333333,120,fr_climat_sommaires_AB_10-2011.csv
AB,2011,11,15.396638655462183,119,fr_climat_sommaires_AB_11-2011.csv
AB,2011,12,12.853913043478261,115,fr_climat_sommaires_AB_12-2011.csv
AB,2012,1,10.462608695652174,115,fr_climat_sommaires_AB_01-2012.csv
AB,2012,2,12.501739130434784,115,fr_climat_sommaires_AB_02-2012.csv
AB,2012,3,23.847008547008553,117,fr_climat_sommaires_AB_03-2012.csv
AB,2012,4,38.385833333333345,120,fr_climat_sommaires_AB_04-2012.csv
AB,2012,5,48.7640350877193,114,fr_climat_sommaires_AB_05-2012.csv
AB,2012,6,97.29385964912281,114,fr_climat_sommaires_AB_06-2012.csv
AB,2012,7,80.94137931034481,116,fr_climat_sommaires_AB_07-2012.csv
AB,2012,8,40.54912280701754,114,fr_climat_sommaires_AB_08-2012.csv
AB,2012,9,18.664545454545454,110,fr_climat_sommaires_AB_09-2012.csv
AB,2012,10,34.92162162162162,111,fr_climat_sommaires_AB_10-2012.csv
AB,2012,11,21.900917431192664,109,fr_climat_sommaires_AB_11-2012.csv
AB,2012,12,18.54766355140187,107,fr_climat_sommaires_AB_12-2012.csv
AB,2013,1,20.129906542056077,107,fr_climat_sommaires_AB_01-2013.csv
AB,2013,2,10.04811320754717,106,fr_climat_sommaires_AB_02-2013.csv
AB,2013,3,21.899056603773587,106,fr_climat_sommaires_AB_03-2013.csv
AB,2013,4,27.14818181818182,110,fr_climat_sommaires_AB_04-2013.csv
AB,2013,5,44.954954954954964,111,fr_climat_sommaires_AB_05-2013.csv
AB,2013,6,97.4559633027523,109,fr_climat_sommaires_AB_06-2013.csv
AB,2013,7,64.72545454545455,110,fr_climat_sommaires_AB_07-2013.csv
AB,2013,8,46.33636363636363,110,fr_climat_sommaires_AB_08-2013.csv
AB,2013,9,29.321621621621624,111,fr_climat_sommaires_AB_09-2013.csv
AB,2013,10,19.313636363636363,110,fr_climat_sommaires_AB_10-2013.csv
AB,2013,11,27.885185185185183,108,fr_climat_sommaires_AB_11-2013.csv
AB,2013,12,38.577777777777776,108,fr_climat_sommaires_AB_12-2013.csv
AB,2014,1,15.344642857142857,112,fr_climat_sommaires_AB_01-2014.csv
AB,2014,2,9.679807692307692,104,fr_climat_sommaires_AB_02-2014.csv
AB,2014,3,19.62884615384615,104,fr_climat_sommaires_AB_03-2014.csv
AB,2014,4,30.682075471698116,106,fr_climat_sommaires_AB_04-2014.csv
AB,2014,5,44.37383177570094,107,fr_climat_sommaires_AB_05-2014.csv
AB,2014,6,89.45480769230768,104,fr_climat_sommaires_AB_06-2014.csv
AB,2014,7,51.70190476190477,105,fr_climat_sommaires_AB_07-2014.csv
AB,2014,8,39.86666666666667,105,fr_climat_sommaires_AB_08-2014.csv
AB,2014,9,41.65242718446602,103,fr_climat_sommaires_AB_09-2014.csv
AB,2014,10,13.709523809523812,105,fr_climat_sommaires_AB_10-2014.csv
