Province,Annee,TemperatureMoyenne,MoisDisponibles,StationsMoyennes
AB,2023,4.76,12,86.0
AB,2024,3.67,12,84.2
AB,2025,3.65,12,82.7
BC,2023,9.01,12,216.7
BC,2024,8.57,12,218.2
BC,2025,8.7,12,212.6
MB,2023,2.39,12,64.9
MB,2024,3.1,12,66.3
MB,2025,1.54,12,66.1
NB,2023,6.47,12,25.0
NB,2024,6.97,12,25.0
NB,2025,5.81,12,25.0
NL,2023,4.15,12,47.2
NL,2024,5.2,12,47.5
NL,2025,4.45,12,45.8
NS,2023,7.88,12,48.5
NS,2024,8.06,12,47.6
NS,2025,7.39,12,48.0
NT,2023,-3.46,12,59.1
NT,2024,-4.79,12,56.8
NT,2025,-4.76,12,56.5
NU,2023,-10.01,12,67.2
NU,2024,-9.02,12,61.9
NU,2025,-9.56,12,63.6
ON,2023,6.42,12,163.2
ON,2024,7.26,12,158.5
ON,2025,5.27,12,155.9
PE,2023,7.09,12,8.6
PE,2024,7.75,12,8.0
PE,2025,6.82,12,8.0
QC,2023,3.3,12,134.5
QC,2024,4.18,12,134.8
QC,2025,2.44,12,135.1
SK,2023,3.38,12,77.2
SK,2024,3.06,12,75.5
SK,2025,2.3,12,74.3
YT,2023,-1.61,12,28.0
YT,2024,-2.92,12,27.3
YT,2025,-2.52,12,26.9
