Année,Région,Index,Source,Secteur,Sous-Secteur,Sous-sous-Secteur,Total,CO2 (kt),CH4 (kt),N2O (kt),HFCs (kt CO2eq),PFCs (kt CO2eq),SF6 (kt),NF3 (kt),Total (kt CO2eq)
1990,Territoires du Nord-Ouest et Nunavut,0,Total,,,,o,1704.153668,2.73643221,0.045604701,0,0,0,0,1792.859016
1990,Territoires du Nord-Ouest et Nunavut,1,Pétrole et gaz,,,,o,365.0801463,1.134095886,0.006708353,0,0,0,0,398.6125447
1990,Territoires du Nord-Ouest et Nunavut,2,Pétrole et gaz,Industrie amont du pétrole et du gaz,,,o,355.5608586,1.129712758,0.006588882,0,0,0,0,388.9388696
1990,Territoires du Nord-Ouest et Nunavut,3,Pétrole et gaz,Industrie amont du pétrole et du gaz,Production et traitement du gaz naturel,,,113.2611227,0.413157938,0.002152808,0,0,0,0,125.4000391
1990,Territoires du Nord-Ouest et Nunavut,4,Pétrole et gaz,Industrie amont du pétrole et du gaz,Production de pétrole classique,,o,242.2997359,0.716548935,0.004436074,0,0,0,0,263.5386657
1990,Canada,1,Pétrole et gaz,,,,o,66549.06682,1835.201602,1.117683577,0,0,0,0,118230.8978
1990,Canada,2,Pétrole et gaz,Industrie amont du pétrole et du gaz,,,o,47405.01536,1777.609223,0.847450501,0,0,0,0,97402.64798
1990,Canada,3,Pétrole et gaz,Industrie amont du pétrole et du gaz,Production et traitement du gaz naturel,,,21906.04376,570.0535516,0.478186895,0,0,0,0,37994.26273
1990,Canada,4,Pétrole et gaz,Industrie amont du pétrole et du gaz,Production de pétrole classique,,o,5529.387323,965.2374535,0.064390422,0,0,0,0,32573.09948
1990,Canada,5,Pétrole et gaz,Industrie amont du pétrole et du gaz,Production de pétrole classique,Production de pétrole léger classique,,3767.324678,530.7087047,0.042761481,0,0,0,0,18638.5002
1990,Canada,6,Pétrole et gaz,Industrie amont du pétrole et du gaz,Production de pétrole classique,Production de pétrole lourd classique,,1519.762909,433.8121888,0.017192867,0,0,0,0,13671.06031
1990,Canada,7,Pétrole et gaz,Industrie amont du pétrole et du gaz,Production de pétrole classique,Production de pétrole des régions pionnières,,242.2997359,0.716559969,0.004436074,0,0,0,0,263.5389746
1990,Canada,8,Pétrole et gaz,Industrie amont du pétrole et du gaz,Sables bitumineux et production de pétrole lourd thermique,,o,13353.04667,42.87148198,0.130515405,0,0,0,0,14588.03475
1990,Canada,9,Pétrole et gaz,Industrie amont du pétrole et du gaz,Sables bitumineux et production de pétrole lourd thermique,Exploitation minière et extraction,,2171.809657,23.41960728,0.024231363,0,0,0,0,2833.979972
1990,Canada,11,Pétrole et gaz,Industrie amont du pétrole et du gaz,Sables bitumineux et production de pétrole lourd thermique,Valorisation,,7715.011844,1.999355032,0.033931716,0,0,0,0,7779.985689
1990,Canada,10,Pétrole et gaz,Industrie amont du pétrole et du gaz,Sables bitumineux et production de pétrole lourd thermique,Extraction thermique in situ,,3466.225172,17.45251967,0.072352326,0,0,0,0,3974.069089
1990,Canada,12,Pétrole et gaz,Industrie amont du pétrole et du gaz,"Transport du pétrole, du gaz naturel et du CO2",,,6616.53761,199.4467356,0.174357779,0,0,0,0,12247.25102
1990,Canada,13,Pétrole et gaz,Industrie aval du pétrole et du gaz,,,o,19144.05146,57.59237887,0.270233077,0,0,0,0,20828.24983
1990,Canada,14,Pétrole et gaz,Industrie aval du pétrole et du gaz,Raffinage du pétrole,,,19054.18763,4.358857744,0.267989002,0,0,0,0,19247.25274
1990,Canada,15,Pétrole et gaz,Industrie aval du pétrole et du gaz,Distribution du gaz naturel,,,89.86382562,53.23352113,0.002244075,0,0,0,0,1580.997097
1990,Canada,44,Production de charbon,,,,,1492.658338,113.2242106,0.015763614,0,0,0,0,4667.113594
1990,Canada,16,Électricité,,,,,93650.09214,2.326804737,1.650754857,0,0,0.008866598,0,94361.05776
1990,Canada,17,Transports,,,,o,112504.3721,29.24469035,16.70115406,0,0,0,0,117749.0292
1990,Canada,18,Transports,Transport de passagers,,,o,76380.37484,11.23212135,13.82339327,0,0,0,0,80358.07346
1990,Canada,19,Transports,Transport de passagers,"Voitures, camions légers et motocyclettes",,,67009.70255,10.52888166,13.46096846,0,0,0,0,70871.66788
1990,Canada,20,Transports,Transport de passagers,"Transport par autobus, par train, maritime et aérien",,,9370.672295,0.703239695,0.362424807,0,0,0,0,9486.405581
1990,Canada,21,Transports,Transport de marchandises,,,o,28394.55613,2.592607491,2.712832458,0,0,0,0,29186.04974
1990,Canada,22,Transports,Transport de marchandises,"Camions lourds, trains",,,24427.98452,2.276323693,2.601056506,0,0,0,0,25181.00156
1990,Canada,23,Transports,Transport de marchandises,Transport aérien et transport maritime,,,3966.571611,0.316283798,0.111775952,0,0,0,0,4005.048184
1990,Canada,24,Transports,"Autres : à des fins récréatives, commerciales et résidentielles",,,,7729.441081,15.4199615,0.164928326,0,0,0,0,8204.90601
1990,Canada,25,Industrie lourde,,,,o,76135.5053,13.97497535,39.17242459,813.155296,6791.574694,0.132429216,0,97624.31368
1990,Canada,26,Industrie lourde,Exploitation minière,,,,7719.45425,0.861842934,0.100843191,0,0,0,0,7770.309298
1990,Canada,27,Industrie lourde,Fonte et raffinage (métaux non ferreux),,,,7259.348305,0.671055563,0.062936687,0,6791.574694,0.132429216,0,17198.47734
1990,Canada,28,Industrie lourde,Pâtes et papiers,,,,14868.24584,3.083868463,0.741618198,0,0,0,0,15151.12298
1990,Canada,29,Industrie lourde,Sidérurgie,,,,16627.33841,1.16468222,0.143853523,0,0,0,0,16698.07069
1990,Canada,30,Industrie lourde,Ciment,,,,10135.03471,0.624753716,0.062419776,0,0,0,0,10169.06905
1990,Canada,31,Industrie lourde,Chaux et gypse,,,,2892.078111,0.106990662,0.012063533,0,0,0,0,2898.270686
1990,Canada,32,Industrie lourde,"Produits chimiques, engrais et fabrication de biocombustibles",,,,16634.00568,7.461781791,38.04868968,813.155296,0,0,0,27738.99363
1990,Canada,45,"Industrie manufacturière légère, construction et exploitation forestière",,,,o,31144.95405,5.83108219,0.537928024,0,0.05280795,0.000192002,1.88636E-05,31455.64384
1990,Canada,46,"Industrie manufacturière légère, construction et exploitation forestière",Industrie manufacturière légère,,,,21185.67645,4.395944131,0.40968843,0,0.05280795,0.000192002,1.88636E-05,21422.19888
1990,Canada,0,Total national de l'inventaire,,,,o,459184.8327,3827.403878,115.5657313,813.155296,6791.627502,0.141487816,1.88636E-05,607907.1102
1990,Canada,47,"Industrie manufacturière légère, construction et exploitation forestière",Construction,,,,6926.031371,1.31075262,0.101474802,0,0,0,0,6989.623267
1990,Canada,48,"Industrie manufacturière légère, construction et exploitation forestière",Ressources forestières,,,,3033.24623,0.12438544,0.026764792,0,0,0,0,3043.821693
1990,Canada,33,Bâtiments,,,,o,68226.91009,97.62710285,2.313857848,0,0,0,0,71573.6413
1990,Canada,34,Bâtiments,Industrie des services,,,,27103.71702,4.385865176,1.153409215,0,0,0,0,27532.17469
1990,Canada,35,Bâtiments,Résidentiel,,,,41123.19307,93.24123767,1.160448633,0,0,0,0,44041.46661
1990,Canada,40,Déchets,,,,o,217.8201777,720.7554789,3.353287589,0,0,0,0,21287.5948
1990,Canada,41,Déchets,Déchets solides,,,,0,681.5087616,0.305682656,0,0,0,0,19163.25123
1990,Canada,42,Déchets,Eaux usées,,,,16.07463578,39.09422028,2.730725108,0,0,0,0,1834.354957
1990,Canada,43,Déchets,Incinération des déchets,,,,201.7455419,0.15249706,0.316879825,0,0,0,0,289.9886132
1990,Canada,36,Agriculture,,,,o,9263.453745,1009.217931,50.70287712,0,0,0,0,50957.81825
1990,Canada,37,Agriculture,Utilisation de combustibles à la ferme,,,,8092.070198,2.41999015,0.117105913,0,0,0,0,8190.862989
1990,Canada,38,Agriculture,Cultures,,,,1171.383547,6.805460756,30.68123592,0,0,0,0,9492.463966
1990,Canada,39,Agriculture,Élevage,,,,0,999.9924801,19.90453529,0,0,0,0,33274.4913
1990,Terre-Neuve-et-Labrador,0,Total,,,,o,8906.367444,24.90332799,0.531626103,0,0,4.11161E-05,0,9745.507774
1990,Terre-Neuve-et-Labrador,1,Pétrole et gaz,,,,o,1084.566979,0.217555983,0.021805614,0,0,0,0,1096.437034
1990,Terre-Neuve-et-Labrador,2,Pétrole et gaz,Industrie amont du pétrole et du gaz,,,o,0,1.10336E-05,0,0,0,0,0,0.000308941
1990,Terre-Neuve-et-Labrador,4,Pétrole et gaz,Industrie amont du pétrole et du gaz,Production de pétrole classique,,o,0,1.10336E-05,0,0,0,0,0,0.000308941
1990,Terre-Neuve-et-Labrador,7,Pétrole et gaz,Industrie amont du pétrole et du gaz,Production de pétrole classique,Production de pétrole des régions pionnières,,0,1.10336E-05,0,0,0,0,0,0.000308941
1990,Terre-Neuve-et-Labrador,13,Pétrole et gaz,Industrie aval du pétrole et du gaz,,,o,1084.566979,0.21754495,0.021805614,0,0,0,0,1096.436726
1990,Terre-Neuve-et-Labrador,14,Pétrole et gaz,Industrie aval du pétrole et du gaz,Raffinage du pétrole,,,1084.566979,0.21754495,0.021805614,0,0,0,0,1096.436726
1990,Terre-Neuve-et-Labrador,16,Électricité,,,,,1631.158708,0.01914461,0.032042559,0,0,4.11161E-05,0,1641.152264
1990,Terre-Neuve-et-Labrador,17,Transports,,,,o,2600.734989,0.525199248,0.294220792,0,0,0,0,2693.409078
1990,Terre-Neuve-et-Labrador,18,Transports,Transport de passagers,,,o,1452.982371,0.195761291,0.236555625,0,0,0,0,1521.150927
1990,Terre-Neuve-et-Labrador,19,Transports,Transport de passagers,"Voitures, camions légers et motocyclettes",,,1113.617601,0.173270049,0.225565401,0,0,0,0,1178.243994
1990,Terre-Neuve-et-Labrador,20,Transports,Transport de passagers,"Transport par autobus, par train, maritime et aérien",,,339.3647694,0.022491242,0.010990223,0,0,0,0,342.9069334
1990,Terre-Neuve-et-Labrador,21,Transports,Transport de marchandises,,,o,1018.3592,0.097459304,0.055161829,0,0,0,0,1035.705945
1990,Terre-Neuve-et-Labrador,22,Transports,Transport de marchandises,"Camions lourds, trains",,,347.3174483,0.037951705,0.037248751,0,0,0,0,358.2510149
1990,Terre-Neuve-et-Labrador,23,Transports,Transport de marchandises,Transport aérien et transport maritime,,,671.0417515,0.0595076,0.017913079,0,0,0,0,677.4549301
1990,Terre-Neuve-et-Labrador,24,Transports,"Autres : à des fins récréatives, commerciales et résidentielles",,,,129.393419,0.231978653,0.002503338,0,0,0,0,136.5522058
1990,Terre-Neuve-et-Labrador,25,Industrie lourde,,,,o,2189.468573,0.0862966,0.029106556,0,0,0,0,2199.598115
1990,Terre-Neuve-et-Labrador,26,Industrie lourde,Exploitation minière,,,,1656.800039,0.059030401,0.019701275,0,0,0,0,1663.673728
1990,Terre-Neuve-et-Labrador,27,Industrie lourde,Fonte et raffinage (métaux non ferreux),,,,1.748520555,0.001977504,2.96304E-05,0,0,0,0,1.811742714
1990,Terre-Neuve-et-Labrador,28,Industrie lourde,Pâtes et papiers,,,,423.8570261,0.017869593,0.008494233,0,0,0,0,426.6083463
1990,Terre-Neuve-et-Labrador,29,Industrie lourde,Sidérurgie,,,,1.359913549,0.001977504,2.96304E-05,0,0,0,0,1.423135708
1990,Terre-Neuve-et-Labrador,30,Industrie lourde,Ciment,,,,93.34882107,0.003161433,0.000660751,0,0,0,0,93.61244017
1990,Terre-Neuve-et-Labrador,31,Industrie lourde,Chaux et gypse,,,,0.593531732,7.70137E-06,4.0945E-06,0,0,0,0,0.594832413
1990,Terre-Neuve-et-Labrador,32,Industrie lourde,"Produits chimiques, engrais et fabrication de biocombustibles",,,,11.76072066,0.002272464,0.000186942,0,0,0,0,11.87388938
1990,Terre-Neuve-et-Labrador,45,"Industrie manufacturière légère, construction et exploitation forestière",,,,o,381.0025499,0.032996996,0.004263296,0,0,0,0,383.0562393
1990,Terre-Neuve-et-Labrador,46,"Industrie manufacturière légère, construction et exploitation forestière",Industrie manufacturière légère,,,,55.97609675,0.00326278,0.001209143,0,0,0,0,56.38787739
1990,Terre-Neuve-et-Labrador,47,"Industrie manufacturière légère, construction et exploitation forestière",Construction,,,,232.7001082,0.026628614,0.002293983,0,0,0,0,234.0536148
1990,Terre-Neuve-et-Labrador,48,"Industrie manufacturière légère, construction et exploitation forestière",Ressources forestières,,,,92.32634494,0.003105602,0.000760171,0,0,0,0,92.6147471
1990,Terre-Neuve-et-Labrador,33,Bâtiments,,,,o,964.5320974,2.811265782,0.042824822,0,0,0,0,1054.596117
1990,Terre-Neuve-et-Labrador,34,Bâtiments,Industrie des services,,,,323.8721308,0.003502393,0.016772707,0,0,0,0,328.414965
1990,Terre-Neuve-et-Labrador,35,Bâtiments,Résidentiel,,,,640.6599666,2.807763389,0.026052115,0,0,0,0,726.181152
1990,Terre-Neuve-et-Labrador,40,Déchets,,,,o,24.97910696,20.06678139,0.048296579,0,0,0,0,599.6475793
1990,Terre-Neuve-et-Labrador,41,Déchets,Déchets solides,,,,0,19.47569014,0.002906556,0,0,0,0,546.0895614
1990,Terre-Neuve-et-Labrador,42,Déchets,Eaux usées,,,,1.001,0.580185301,0.040503302,0,0,0,0,27.97956349
1990,Terre-Neuve-et-Labrador,43,Déchets,Incinération des déchets,,,,23.97810696,0.010905947,0.004886721,0,0,0,0,25.57845443
1990,Terre-Neuve-et-Labrador,36,Agriculture,,,,o,29.92443985,1.144087383,0.059065885,0,0,0,0,77.61134604
1990,Terre-Neuve-et-Labrador,37,Agriculture,Utilisation de combustibles à la ferme,,,,27.44075042,0.000483558,0.000320415,0,0,0,0,27.53919998
1990,Terre-Neuve-et-Labrador,38,Agriculture,Cultures,,,,2.483689422,0,0.007682084,0,0,0,0,4.519441623
1990,Terre-Neuve-et-Labrador,39,Agriculture,Élevage,,,,0,1.143603826,0.051063386,0,0,0,0,45.55270444
1990,Île-du-Prince-Édouard,0,Total,,,,o,1369.073419,9.957249252,0.53865677,0,0,7.42083E-07,0,1790.637881
1990,Île-du-Prince-Édouard,1,Pétrole et gaz,,,,o,0,2.33322E-05,0,0,0,0,0,0.000653301
1990,Île-du-Prince-Édouard,2,Pétrole et gaz,Industrie amont du pétrole et du gaz,,,o,0,2.33322E-05,0,0,0,0,0,0.000653301
1990,Île-du-Prince-Édouard,12,Pétrole et gaz,Industrie amont du pétrole et du gaz,"Transport du pétrole, du gaz naturel et du CO2",,,0,2.33322E-05,0,0,0,0,0,0.000653301
1990,Île-du-Prince-Édouard,16,Électricité,,,,,103.0166673,0.001164043,0.002053335,0,0,7.42083E-07,0,103.6108333
1990,Île-du-Prince-Édouard,17,Transports,,,,o,515.7947123,0.195239211,0.068958867,0,0,0,0,539.53551
1990,Île-du-Prince-Édouard,18,Transports,Transport de passagers,,,o,363.7681033,0.057179327,0.06481515,0,0,0,0,382.5451392
1990,Île-du-Prince-Édouard,19,Transports,Transport de passagers,"Voitures, camions légers et motocyclettes",,,334.2945047,0.054626102,0.063964206,0,0,0,0,352.7745502
1990,Île-du-Prince-Édouard,20,Transports,Transport de passagers,"Transport par autobus, par train, maritime et aérien",,,29.47359861,0.002553225,0.000850944,0,0,0,0,29.77058896
1990,Île-du-Prince-Édouard,21,Transports,Transport de marchandises,,,o,91.02876001,0.012098933,0.002770613,0,0,0,0,92.10174245
1990,Île-du-Prince-Édouard,22,Transports,Transport de marchandises,"Camions lourds, trains",,,65.04004964,0.009761188,0.002066772,0,0,0,0,65.86105748
1990,Île-du-Prince-Édouard,23,Transports,Transport de marchandises,Transport aérien et transport maritime,,,25.98871037,0.002337745,0.000703841,0,0,0,0,26.24068498
1990,Île-du-Prince-Édouard,24,Transports,"Autres : à des fins récréatives, commerciales et résidentielles",,,,60.99784894,0.125960952,0.001373105,0,0,0,0,64.88862833
1990,Île-du-Prince-Édouard,25,Industrie lourde,,,,o,9.507435378,0.017386166,0.000270231,0,0,0,0,10.06585924
1990,Île-du-Prince-Édouard,26,Industrie lourde,Exploitation minière,,,,3.268429015,0.006184582,0.000113449,0,0,0,0,3.471661291
1990,Île-du-Prince-Édouard,27,Industrie lourde,Fonte et raffinage (métaux non ferreux),,,,1.085514652,0.002240315,3.13558E-05,0,0,0,0,1.156552765
1990,Île-du-Prince-Édouard,28,Industrie lourde,Pâtes et papiers,,,,1.075796652,0.002240315,3.13558E-05,0,0,0,0,1.146834765
1990,Île-du-Prince-Édouard,29,Industrie lourde,Sidérurgie,,,,1.075796652,0.002240315,3.13558E-05,0,0,0,0,1.146834765
1990,Île-du-Prince-Édouard,30,Industrie lourde,Ciment,,,,1.075796652,0.002240315,3.13558E-05,0,0,0,0,1.146834765
1990,Île-du-Prince-Édouard,31,Industrie lourde,Chaux et gypse,,,,0.010065473,9.46298E-09,2.85186E-09,0,0,0,0,0.010066494
1990,Île-du-Prince-Édouard,32,Industrie lourde,"Produits chimiques, engrais et fabrication de biocombustibles",,,,1.916036283,0.002240315,3.13558E-05,0,0,0,0,1.987074396
1990,Île-du-Prince-Édouard,45,"Industrie manufacturière légère, construction et exploitation forestière",,,,o,132.3276598,0.012149181,0.002105844,0,0,0,0,133.2258855
1990,Île-du-Prince-Édouard,46,"Industrie manufacturière légère, construction et exploitation forestière",Industrie manufacturière légère,,,,59.1385044,0.004044364,0.001333824,0,0,0,0,59.60520982
1990,Île-du-Prince-Édouard,47,"Industrie manufacturière légère, construction et exploitation forestière",Construction,,,,61.29013668,0.007582457,0.000673382,0,0,0,0,61.68089165
1990,Île-du-Prince-Édouard,48,"Industrie manufacturière légère, construction et exploitation forestière",Ressources forestières,,,,11.89901871,0.00052236,9.86385E-05,0,0,0,0,11.939784
1990,Île-du-Prince-Édouard,33,Bâtiments,,,,o,544.6852099,0.854775121,0.018693481,0,0,0,0,573.5726857
1990,Île-du-Prince-Édouard,34,Bâtiments,Industrie des services,,,,200.8086744,0.037399209,0.010553512,0,0,0,0,204.6525329
1990,Île-du-Prince-Édouard,35,Bâtiments,Résidentiel,,,,343.8765354,0.817375911,0.008139969,0,0,0,0,368.9201528
1990,Île-du-Prince-Édouard,40,Déchets,,,,o,0.023509967,2.438515502,0.019567981,0,0,0,0,73.48745886
1990,Île-du-Prince-Édouard,41,Déchets,Déchets solides,,,,0,2.221702289,0.000460483,0,0,0,0,62.3296922
1990,Île-du-Prince-Édouard,42,Déchets,Eaux usées,,,,0,0.216137802,0.019093478,0,0,0,0,11.11163025
1990,Île-du-Prince-Édouard,43,Déchets,Incinération des déchets,,,,0.023509967,0.000675411,1.40187E-05,0,0,0,0,0.04613641
1990,Île-du-Prince-Édouard,36,Agriculture,,,,o,63.71822435,6.437996696,0.427007031,0,0,0,0,357.1389951
1990,Île-du-Prince-Édouard,37,Agriculture,Utilisation de combustibles à la ferme,,,,58.58489101,0.006441272,0.000584217,0,0,0,0,58.92006412
1990,Île-du-Prince-Édouard,38,Agriculture,Cultures,,,,5.133333333,0.003359764,0.250995632,0,0,0,0,71.74124919
