"Long","Lat","Nom","ID_Clim","Prov_ou_ter","Tm","JsTm","D","Tx","JsTx","Tn","JsTn","S","JsS","%NS","P","JsP","%NP","Sas","Pd","DIE","JsIE","%IE","DJC","DJR"
"-114,483","53,167","BRETON","3010815","AB","","","ND","","","","","0,0","0","ND","95,4","0","ND","0,0","10","","","ND","",""
"-112,817","53,050","CAMROSE","3011240","AB","17,4","0","1,6","32,7","0","4,7","0","","","ND","45,1","0","88,0","","8","","","ND","43,1","24,2"
"-111,449","52,074","CORONATION CLIMATE","3011887","AB","17,4","0","ND","31,5","0","3,3","0","","","ND","86,1","0","ND","","6","","","ND","36,8","18,3"
"-113,950","52,750","DAKOTA WEST","3011953","AB","17,5","1","2,5","31,5","1","3,0","0","0,0","0","0,0","45,0","0","66,0","0,0","7","","","ND","39,1","23,7"
"-113,606","53,307","EDMONTON INTERNATIONAL CS","3012206","AB","17,0","2","ND","32,3","2","5,0","2","","","ND","50,2","2","ND","","7","","","ND","45,2","16,6"
"-113,517","53,573","EDMONTON BLATCHFORD","3012209","AB","19,3","0","ND","33,3","0","7,8","0","","","ND","28,4","0","ND","","7","","","ND","25,5","66,6"
"-113,579","53,310","EDMONTON INTL A","3012216","AB","17,1","0","ND","32,7","0","4,8","0","0,0","0","ND","60,7","0","ND","","9","","","ND","45,7","19,1"
"-113,856","53,668","EDMONTON VILLENEUVE A","3012229","AB","17,5","0","ND","31,6","0","5,1","0","","","ND","71,1","0","ND","","8","","","ND","46,0","30,6"
"-114,108","53,548","EDMONTON STONY PLAIN","301222F","AB","18,6","15","2,6","32,0","15","8,5","15","0,0","15","ND","35,4","15","ND","","4","","","ND","18,7","28,1"
"-112,868","53,683","ELK ISLAND NAT PARK","3012275","AB","17,9","0","2,2","31,5","0","7,0","0","","","ND","63,7","0","121,0","","13","","","ND","39,0","36,3"
"-111,000","52,967","FABYAN","3012515","AB","18,1","0","2,2","32,0","0","4,0","0","0,0","0","0,0","56,6","0","93,0","0,0","7","","","ND","29,1","32,8"
