"Long","Lat","Nom","ID_Clim","Prov_ou_ter","Tm","JsTm","D","Tx","JsTx","Tn","JsTn","S","JsS","%NS","P","JsP","%NP","Sas","Pd","DIE","JsIE","%IE","DJC","DJR"
"-123,742","48,935","CHEMAINUS","1011500","BC","5,9","0","ND","13,0","0","-1,5","0","0,7","0","ND","127,1","0","ND","0,0","10","","","ND","351,1","0,0"
"-124,052","48,829","LAKE COWICHAN","1012055","BC","4,9","14","0,9","14,0","10","-4,0","10","0,0","10","ND","163,0","10","ND","0,0","12","","","ND","196,3","0,0"
"-123,226","48,425","DISCOVERY ISLAND","1012475","BC","7,1","0","ND","12,5","0","1,9","0","","","ND","","","ND","","","","","ND","316,7","0,0"
"-123,439","48,432","ESQUIMALT HARBOUR","1012710","BC","7,2","9","ND","13,0","9","-0,2","9","","","ND","74,4","10","ND","","9","","","ND","216,4","0,0"
"-123,530","48,575","MALAHAT","1014820","BC","4,3","0","ND","10,1","0","-3,3","0","","","ND","117,4","7","ND","","11","","","ND","397,9","0,0"
"-123,561","48,374","METCHOSIN","1015105","BC","","","ND","","","","","0,0","14","ND","102,2","14","ND","0,0","10","","","ND","",""
"-123,718","48,824","NORTH COWICHAN","1015628","BC","","","ND","","","","","0,0","0","0,0","95,3","0","76,0","0,0","12","","","ND","",""
"-123,719","48,824","NORTH COWICHAN","1015630","BC","5,6","0","ND","13,1","0","-3,5","0","","","ND","81,2","0","ND","","10","","","ND","359,7","0,0"
"-123,287","48,764","NORTH PENDER ISLAND","1015638","BC","6,5","4","ND","13,5","4","-0,5","4","0,0","4","ND","74,2","4","ND","0,0","11","","","ND","288,2","0,0"
"-123,531","48,298","RACE ROCKS","1016640","BC","7,2","0","ND","14,3","0","1,4","0","","","ND","","","ND","","","","","ND","312,2","0,0"
"-123,419","48,622","SAANICHTON CFIA","1016943","BC","6,3","0","ND","12,2","0","-1,4","0","","","ND","73,1","0","ND","","10","","","ND","339,0","0,0"
"-123,427","48,598","SAANICHTON MT NEWTON","1016RM0","BC","","","ND","","","","","0,0","0","0,0","89,6","0","96,0","0,0","12","","","ND","",""
"-123,128","48,775","SATURNA CAPMON CS","1017099","BC","5,4","0","ND","11,9","0","-0,8","0","","","ND","71,0","0","ND","","11","","","ND","365,0","0,0"
"-123,045","48,784","SATURNA ISLAND CS","1017101","BC","7,1","7","ND","13,4","7","1,0","7","","","ND","50,8","7","ND","","8","","","ND","238,9","0,0"
"-123,921","48,377","SHERINGHAM POINT","1017254","BC","7,3","1","ND","13,7","1","1,5","1","","","ND","102,0","1","ND","","15","","","ND","299,0","0,0"
"-123,305","48,457","VICTORIA UNIVERSITY CS","1018598","BC","6,2","0","ND","13,4","0","-2,2","0","","","ND","59,6","0","ND","","10","","","ND","341,5","0,0"
"-123,325","48,413","VICTORIA GONZALES CS","1018611","BC","6,8","0","ND","13,1","0","0,3","0","","","ND","54,8","1","ND","","9","","","ND","325,5","0,0"
"-123,426","48,647","VICTORIA INTL A","1018621","BC","5,7","0","ND","12,9","0","-3,3","0","0,0","0","ND","75,3","0","ND","","11","","","ND","356,0","0,0"
"-123,388","48,423","VICTORIA HARBOUR A","1018633","BC","6,9","0","ND","13,6","0","-0,6","0","","","ND","","","ND","","","","","ND","322,1","0,0"
"-124,160","49,350","BALLENAS ISLAND","1020590","BC","5,9","0","ND","11,3","0","1,3","0","","","ND","70,6","0","ND","","12","","","ND","349,7","0,0"
"-125,273","49,952","CAMPBELL RIVER A","1021261","BC","3,4","0","0,2","11,5","0","-7,0","0","8,9","0","62,0","89,9","0","60,0","0,0","12","","","ND","422,3","0,0"
"-125,273","49,952","CAMPBELL RIVER A","1021270","BC","3,3","0","ND","11,3","0","-7,3","0","","","ND","","","ND","","","","","ND","426,5","0,0"
"-125,195","49,998","CAPE MUDGE","1021330","BC","5,9","0","1,4","11,5","0","-1,5","0","0,0","0","0,0","104,2","0","74,0","0,0","13","","","ND","349,8","0,0"
"-125,446","50,333","CHATHAM POINT","1021480","BC","5,3","0","0,7","12,0","0","-1,5","0","7,0","0","73,0","140,2","0","67,0","0,0","13","","","ND","368,5","0,0"
"-124,900","49,717","COMOX A","1021830","BC","4,9","0","0,6","11,0","0","-2,8","0","1,4","0","23,0","80,4","0","70,0","","9","","","ND","379,2","0,0"
"-124,999","49,763","COURTENAY GRANTHAM","1021988","BC","5,5","8","ND","20,0","8","-3,0","8","1,0","8","ND","93,5","8","ND","0,0","9","","","ND","263,1","0,0"
"-125,033","49,686","COURTENAY PUNTLEDGE","1021989","BC","4,9","4","ND","12,5","2","-6,0","2","0,0","2","ND","89,5","2","ND","0,0","13","","","ND","327,9","0,0"
"-123,811","49,209","ENTRANCE ISLAND","1022689","BC","6,2","0","ND","11,6","0","1,1","0","","","ND","47,4","0","ND","","10","","","ND","340,9","0,0"
"-125,993","50,454","FANNY ISLAND","1022795","BC","5,6","0","ND","11,5","0","-0,7","0","","","ND","86,6","1","ND","","10","","","ND","360,6","0,0"
"-123,870","49,054","NANAIMO A","1025365","BC","4,5","0","ND","12,3","0","-4,6","0","","","ND","","","ND","","","","","ND","390,2","0,0"
"-123,988","49,199","NANAIMO CITY YARD","10253G0","BC","","","ND","","","","","0,0","0","0,0","91,0","0","79,0","0,0","11","","","ND","",""
"-127,367","50,681","PORT HARDY A","1026271","BC","3,8","0","ND","10,5","0","-4,6","0","12,1","2","ND","112,8","0","ND","0,0","14","","","ND","412,3","0,0"
"-127,377","50,684","PORT HARDY AIRPORT","1026273","BC","4,0","1","ND","10,5","1","-3,6","1","","","ND","115,7","1","ND","1,0","13","","","ND","392,8","0,0"
"-124,394","49,337","QUALICUM BEACH AIRPORT","1026562","BC","4,7","0","ND","13,4","0","-2,7","0","","","ND","40,4","0","ND","","8","","","ND","385,2","0,0"
"-124,617","49,394","QUALICUM R FISH RESEARCH","1026565","BC","5,0","1","0,8","13,0","1","-5,0","1","0,0","1","ND","82,3","1","ND","","11","","","ND","363,8","0,0"
"-125,304","50,016","QUINSAM RIVER HATCHERY","1026639","BC","4,3","1","0,6","13,0","1","-5,5","1","0,0","1","ND","103,4","1","ND","6,0","14","","","ND","383,8","0,0"
"-124,435","49,487","SISTERS ISLAND","1027403","BC","6,4","0","ND","11,7","0","0,7","0","","","ND","","","ND","","","","","ND","337,0","0,0"
"-123,809","49,209","ENTRANCE ISLAND","102BFHH","BC","6,6","1","ND","11,5","1","1,5","1","0,2","1","ND","52,0","1","ND","0,0","7","","","ND","317,9","0,0"
"-124,982","49,337","ALBERNI ROBERTSON CREEK","1030230","BC","5,0","0","2,0","12,5","0","-5,0","0","7,0","0","41,0","118,6","0","50,0","0,0","11","","","ND","377,4","0,0"
"-125,216","48,786","CAPE BEALE LIGHT","1031316","BC","7,4","0","1,3","12,5","0","0,5","0","0,0","0","0,0","214,0","0","80,0","0,0","14","","","ND","307,8","0,0"
"-128,427","50,782","CAPE SCOTT","1031353","BC","5,9","0","0,3","11,5","0","0,0","0","1,0","0","11,0","172,6","0","72,0","0,0","13","","","ND","351,4","0,0"
"-126,543","49,383","ESTEVAN POINT","1032730","BC","6,5","12","0,6","12,0","12","0,0","12","0,0","12","ND","86,8","12","ND","","13","","","ND","195,0","0,0"
"-126,543","49,383","ESTEVAN POINT CS","1032731","BC","6,2","5","ND","11,8","5","-1,0","5","","","ND","161,2","5","ND","","13","","","ND","283,1","0,0"
"-125,923","49,111","LENNARD ISLAND","1034600","BC","6,7","0","ND","12,0","0","0,0","0","0,0","0","0,0","188,3","0","59,0","0,0","17","","","ND","328,2","0,0"
"-124,655","48,859","NITINAT RIVER HATCHERY","1035612","BC","5,5","0","0,7","12,5","0","-4,0","0","7,5","0","56,0","272,9","0","70,0","0,0","16","","","ND","362,3","0,0"
"-126,617","49,600","NOOTKA LIGHTSTATION","1035614","BC","6,5","0","0,6","13,0","0","0,0","0","1,0","0","20,0","243,2","0","75,0","0,0","15","","","ND","333,3","0,0"
"-125,097","48,723","PACHENA POINT","1035940","BC","6,7","0","0,7","13,0","0","-1,5","0","0,0","0","0,0","247,8","0","83,0","0,0","15","","","ND","327,4","0,0"
"-127,653","50,534","QUATSINO","1036570","BC","4,4","3","-0,5","10,5","3","-1,5","3","0,0","3","ND","163,8","3","ND","0,0","13","","","ND","353,3","0,0"
"-128,033","50,441","QUATSINO LIGHTSTATION","1036572","BC","6,7","0","0,5","14,5","0","0,5","0","0,6","0","16,0","146,8","0","66,0","0,0","12","","","ND","328,8","0,0"
"-124,927","49,317","PORT ALBERNI (AUT)","1036B06","BC","4,5","0","ND","12,0","0","-5,9","0","","","ND","114,4","0","ND","","11","","","ND","391,8","0,0"
"-128,908","50,821","SARTINE ISLAND (AUT)","1037090","BC","6,2","1","ND","10,8","1","0,9","1","","","ND","37,2","1","ND","","8","","","ND","331,3","0,0"
