"Long","Lat","Nom","ID_Clim","Prov_ou_ter","Tm","JsTm","D","Tx","JsTx","Tn","JsTn","S","JsS","%NS","P","JsP","%NP","Sas","Pd","DIE","JsIE","%IE","DJC","DJR"
"-99,292","49,276","BALDUR","5010140","MB","-6,1","0","-0,6","9,0","0","-19,0","0","29,5","0","174,0","29,5","0","118,0","0,0","3","","","ND","747,0","0,0"
"-99,952","49,910","BRANDON MUNI A","5010481","MB","-8,5","2","ND","4,9","2","-26,8","2","25,8","2","ND","21,2","2","ND","7,0","4","","","ND","769,6","0,0"
"-99,950","49,900","BRANDON RCS","5010490","MB","-8,2","0","ND","7,9","0","-24,9","0","","","ND","26,6","0","ND","12,0","5","","","ND","811,7","0,0"
"-99,357","49,906","CARBERRY CS","5010547","MB","-7,3","0","ND","8,6","0","-23,0","0","","","ND","23,0","0","ND","2,0","5","","","ND","785,1","0,0"
"-99,074","49,562","CYPRESS RIVER RCS","5010641","MB","-6,6","0","ND","7,5","0","-23,0","0","","","ND","24,7","0","ND","2,0","5","","","ND","763,3","0,0"
"-101,203","49,927","ELKHORN 2 EAST","5010QFQ","MB","-7,9","1","-2,2","8,0","1","-27,0","1","37,2","1","ND","39,4","1","ND","6,0","7","","","ND","776,4","0,0"
"-98,300","49,983","PORTAGE ROMANCE","5012300","MB","","","ND","","","","","35,7","0","ND","38,5","0","ND","4,0","3","","","ND","",""
"-98,267","49,950","PORTAGE LA PRAIRIE CDA","5012321","MB","","","ND","","","","","26,0","1","ND","26,0","0","101,0","0,0","4","","","ND","",""
"-98,284","49,903","PORTAGE SOUTHPORT","5012324","MB","-6,0","0","ND","9,0","0","-19,9","0","","","ND","20,0","0","ND","1,0","2","","","ND","745,0","0,0"
"-101,363","51,183","ROBLIN","5012469","MB","-11,2","0","ND","4,9","0","-31,4","0","","","ND","31,0","0","ND","34,0","4","","","ND","905,4","0,0"
"-100,604","50,455","SHOAL LAKE CS","5012654","MB","-10,6","0","ND","5,0","0","-27,3","0","","","ND","23,9","0","ND","24,0","5","","","ND","885,3","0,0"
"-100,934","49,842","VIRDEN WATER","5012961","MB","-7,6","0","ND","9,0","0","-29,0","0","36,0","0","ND","36,0","0","ND","14,0","5","","","ND","793,5","0,0"
"-99,942","50,655","WASAGAMING","5013117","MB","-10,2","0","-2,1","10,3","0","-29,1","0","","","ND","33,4","0","117,0","31,0","4","","","ND","873,8","0,0"
"-100,986","49,281","MELITA","501A7AR","MB","-6,7","0","ND","8,5","0","-26,3","0","","","ND","15,8","0","ND","3,0","3","","","ND","765,9","0,0"
"-101,400","51,267","ROBLIN FRIESEN 3 NORTHWEST","501B4G2","MB","","","ND","","","","","59,0","0","ND","65,0","0","ND","55,0","5","","","ND","",""
"-100,179","50,108","RIVERS PETTAPIECE","501BMMA","MB","","","ND","","","","","46,8","0","291,0","50,8","0","213,0","46,0","5","","","ND","",""
"-100,817","50,750","ROSSBURN 4 NORTH","501KE01","MB","","","ND","","","","","62,0","4","ND","62,0","4","ND","70,0","6","","","ND","",""
"-98,319","49,400","DEERWOOD RCS","5020725","MB","-5,5","0","ND","10,5","0","-17,6","0","","","ND","16,9","0","ND","","5","","","ND","729,9","0,0"
"-97,238","49,000","EMERSON AUTO","5020881","MB","-4,5","0","ND","12,9","0","-18,3","0","","","ND","10,6","0","ND","","4","","","ND","696,9","0,0"
"-97,560","49,031","GRETNA (AUT)","5021220","MB","-4,5","0","ND","14,3","0","-18,5","0","","","ND","7,2","0","ND","","3","","","ND","697,8","0,0"
"-98,875","49,606","HOLLAND","5021302","MB","","","ND","","","","","19,0","13","ND","19,0","13","ND","","2","","","ND","",""
"-96,901","49,518","KLEEFELD (MAFRI)","5021500","MB","-5,4","0","ND","12,0","0","-20,3","0","","","ND","12,2","0","ND","0,0","3","","","ND","724,0","0,0"
"-97,807","50,013","MARQUETTE","5021695","MB","-6,2","0","-0,7","7,0","0","-22,0","0","21,2","0","123,0","21,2","0","75,0","2,0","3","","","ND","750,1","0,0"
"-98,084","49,188","MORDEN CDA CS","5021849","MB","-4,8","0","ND","11,8","0","-18,4","0","","","ND","21,9","0","ND","","3","","","ND","705,9","0,0"
"-98,905","49,191","PILOT MOUND (AUT)","5022125","MB","-6,5","0","ND","8,7","0","-20,7","0","","","ND","12,6","0","ND","2,0","3","","","ND","759,4","0,0"
"-96,035","49,353","ST LABRE","5022575","MB","","","ND","","","","","41,0","0","180,0","58,4","0","180,0","0,0","9","","","ND","",""
"-97,033","50,056","WINNIPEG ST ANDREWS","50225DS","MB","-6,4","0","ND","9,1","0","-21,1","0","","","ND","","","ND","","","","","ND","756,0","0,0"
"-97,950","49,133","SCHANZENFELD","5022623","MB","","","ND","","","","","18,2","7","ND","22,0","7","ND","0,0","4","","","ND","",""
"-95,598","49,024","SPRAGUE","5022759","MB","-4,8","0","ND","13,8","0","-18,3","0","","","ND","13,9","0","ND","3,0","6","","","ND","707,5","0,0"
