"Long","Lat","Nom","ID_Clim","Prov_ou_ter","Tm","JsTm","D","Tx","JsTx","Tn","JsTn","S","JsS","%NS","P","JsP","%NP","Sas","Pd","DIE","JsIE","%IE","DJC","DJR"
"-67,716","46,712","AROOSTOOK","8100300","NB","-5,7","13","7,0","3,5","13","-21,0","13","48,2","13","ND","58,6","13","ND","58,0","9","","","ND","426,0","0,0"
"-64,833","47,802","BAS CARAQUET","8100467","NB","-4,8","0","ND","6,1","0","-16,5","0","","","ND","144,3","0","ND","43,0","10","","","ND","707,0","0,0"
"-64,867","47,800","BAS CARAQUET","8100468","NB","","","ND","","","","","92,4","0","ND","153,8","0","ND","59,0","15","","","ND","",""
"-65,739","47,630","BATHURST A","8100506","NB","-6,9","0","ND","3,1","0","-23,1","0","","","ND","130,6","0","ND","","9","","","ND","770,9","0,0"
"-66,334","47,990","CHARLO AUTO","8100885","NB","-7,1","0","ND","2,2","0","-21,1","0","","","ND","110,1","0","ND","48,0","19","","","ND","779,1","0,0"
"-65,465","47,009","MIRAMICHI RCS","8100989","NB","-5,5","0","ND","5,1","0","-21,5","0","","","ND","134,7","1","ND","37,0","10","","","ND","727,0","0,0"
"-66,010","46,585","DOAKTOWN AUTO RCS","8101201","NB","-5,6","0","ND","3,8","0","-22,6","0","","","ND","167,5","0","ND","60,0","11","","","ND","731,5","0,0"
"-68,324","47,417","EDMUNDSTON","8101303","NB","-8,8","4","ND","3,1","4","-33,4","4","","","ND","118,9","5","ND","84,0","14","","","ND","723,3","0,0"
"-66,537","45,869","FREDERICTON INTL A","8101505","NB","-4,5","1","ND","8,4","1","-19,9","1","","","ND","111,4","1","ND","","12","","","ND","676,2","0,0"
"-66,609","45,920","FREDERICTON CDA CS","8101605","NB","-4,1","0","ND","8,3","0","-18,0","0","","","ND","162,9","0","ND","30,0","14","","","ND","686,5","0,0"
"-64,950","45,600","FUNDY PARK (ALMA) CS","8101746","NB","-1,7","0","ND","10,3","0","-13,8","0","","","ND","271,0","0","ND","11,0","14","","","ND","611,4","0,0"
"-66,802","44,712","GRAND MANAN SAR CS","8101925","NB","-0,8","2","ND","10,2","2","-13,6","2","","","ND","96,9","17","ND","5,0","8","","","ND","544,5","0,0"
"-65,013","46,789","KOUCHIBOUGUAC","8102326","NB","-4,8","1","ND","8,7","1","-20,9","1","","","ND","187,3","1","ND","42,0","13","","","ND","682,6","0,0"
"-66,899","45,954","MACTAQUAC PROV PARK","8102536","NB","-8,3","18","1,8","8,0","17","-24,0","18","23,0","17","ND","44,0","17","ND","0,0","5","","","ND","341,6","0,0"
"-65,165","45,694","MECHANIC SETTLEMENT","8102848","NB","-4,6","1","ND","9,2","1","-17,7","1","","","ND","287,8","1","ND","33,0","19","","","ND","677,3","0,0"
"-64,494","48,009","MISCOU ISLAND (AUT)","8103050","NB","-4,4","0","ND","4,8","0","-15,4","0","","","ND","102,9","0","ND","44,0","9","","","ND","695,8","0,0"
"-64,679","46,112","MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A","8103201","NB","-3,4","0","ND","9,8","0","-16,0","0","103,9","0","ND","182,5","0","ND","10,0","14","","","ND","664,5","0,0"
"-64,679","46,112","MONCTON / GREATER MONCTON ROMEO LEBLANC INTL A","8103202","NB","-3,4","0","ND","9,8","0","-16,0","0","","","ND","","","ND","","","","","ND","664,5","0,0"
"-66,099","45,507","OAK POINT","8103780","NB","-2,1","0","ND","10,0","0","-15,5","0","60,4","0","ND","186,8","0","ND","14,0","19","","","ND","622,9","0,0"
"-66,449","45,073","POINT LEPREAU CS","8104201","NB","-0,9","1","ND","9,8","1","-13,4","1","","","ND","128,1","6","ND","","12","","","ND","567,8","0,0"
"-65,598","47,439","RED PINES","8104295","NB","-7,1","0","ND","3,5","0","-22,7","0","","","ND","145,0","1","ND","79,0","13","","","ND","778,2","0,0"
"-65,890","45,316","SAINT JOHN A","8104901","NB","-2,7","1","ND","10,6","1","-17,6","1","42,7","0","ND","227,9","0","ND","4,0","13","","","ND","622,3","0,0"
"-65,814","45,290","GARNETT SETTLEMENT","8104905","NB","-2,1","1","ND","11,0","1","-15,1","1","","","ND","253,7","1","ND","","15","","","ND","603,8","0,0"
"-67,253","45,210","ST. STEPHEN","8104935","NB","-3,0","0","ND","12,3","0","-18,0","0","","","ND","131,5","1","ND","23,0","14","","","ND","649,7","0,0"
"-65,529","45,742","SUSSEX FOUR CORNERS","8105210","NB","-2,9","0","ND","12,4","0","-16,4","0","","","ND","169,1","0","ND","12,0","13","","","ND","647,9","0,0"
"-67,543","46,152","WOODSTOCK NEWBRIDGE","8105603","NB","-5,8","0","ND","4,1","0","-22,5","0","","","ND","145,1","0","ND","44,0","13","","","ND","737,7","0,0"
