"Long","Lat","Nom","ID_Clim","Prov_ou_ter","Tm","JsTm","D","Tx","JsTx","Tn","JsTn","S","JsS","%NS","P","JsP","%NP","Sas","Pd","DIE","JsIE","%IE","DJC","DJR"
"-53,998","47,311","ARGENTIA (AUT)","8400104","NL","15,9","2","ND","22,3","2","9,6","2","","","ND","125,9","2","ND","","9","","","ND","60,9","0,3"
"-56,067","48,967","BADGER (AUT)","8400301","NL","19,9","2","ND","32,8","2","4,0","2","","","ND","42,8","2","ND","","8","","","ND","13,3","67,0"
"-55,861","47,858","ST ALBAN'S","8400416","NL","17,7","2","ND","26,9","2","10,7","2","","","ND","37,6","2","ND","","7","","","ND","30,2","21,5"
"-57,919","49,620","BERRY HILL","8400506","NL","17,5","11","ND","25,4","11","8,6","11","","","ND","","","ND","","","","","ND","25,2","15,8"
"-53,114","48,667","BONAVISTA","8400601","NL","18,9","0","ND","30,6","0","10,1","0","","","ND","50,7","0","ND","","7","","","ND","26,3","54,0"
"-57,617","47,617","BURGEO NL","8400801","NL","16,1","0","ND","22,2","0","9,8","0","","","ND","95,1","0","ND","","12","","","ND","61,1","2,4"
"-57,333","48,167","BURNT POND","8400812","NL","18,5","0","3,9","36,0","0","4,0","0","0,0","0","ND","56,0","0","55,0","0,0","8","","","ND","28,5","44,5"
"-53,076","46,660","CAPE RACE (AUT)","8401000","NL","14,3","0","ND","23,3","0","7,5","0","","","ND","90,7","7","ND","","10","","","ND","113,9","0,0"
"-57,393","49,322","CORMACK RCS","8401295","NL","19,0","0","ND","28,6","0","5,8","0","","","ND","75,0","0","ND","","8","","","ND","16,9","48,1"
"-57,917","48,933","CORNER BROOK","8401298","NL","19,3","1","ND","28,6","1","6,5","1","","","ND","","","ND","","","","","ND","14,2","51,9"
"-57,950","48,950","CORNER BROOK","8401300","NL","20,9","0","3,6","30,0","0","8,0","0","0,0","0","ND","83,1","0","90,0","0,0","8","","","ND","7,4","97,0"
"-57,581","50,236","DANIEL'S HARBOUR","8401405","NL","17,4","1","ND","24,5","1","7,4","1","","","ND","82,5","1","ND","","12","","","ND","38,4","20,2"
"-57,433","49,167","DEER LAKE","8401500","NL","19,4","12","3,0","29,0","12","1,0","12","0,0","12","ND","54,1","12","ND","0,0","5","","","ND","12,2","39,4"
"-57,394","49,209","DEER LAKE A","8401502","NL","19,3","5","ND","29,4","5","5,0","5","0,0","1","ND","93,2","1","ND","","7","","","ND","14,5","48,6"
"-56,113","50,721","ENGLEE (AUT)","8401538","NL","16,8","2","ND","28,1","2","6,4","2","","","ND","48,7","10","ND","","7","","","ND","50,0","16,6"
"-57,095","51,023","FEROLLE POINT (AUT)","8401565","NL","16,0","1","ND","20,8","1","8,4","1","","","ND","88,0","1","ND","","7","","","ND","62,8","2,0"
"-54,568","48,937","GANDER INTL A","8401703","NL","20,2","0","ND","32,2","0","9,5","0","0,0","0","ND","102,7","0","ND","","6","","","ND","13,1","82,3"
"-54,567","48,946","GANDER AIRPORT CS","8401705","NL","20,1","0","ND","32,3","0","9,5","0","","","ND","100,3","0","ND","","6","","","ND","14,1","78,4"
"-55,667","49,917","LA SCIE","8402520","NL","18,9","1","ND","31,0","1","6,9","1","","","ND","51,3","1","ND","","7","","","ND","27,6","53,7"
"-53,902","48,350","LETHBRIDGE","8402544","NL","20,2","0","3,9","32,0","0","7,0","0","0,0","0","ND","92,0","0","97,0","0,0","11","","","ND","7,0","74,5"
"-56,544","48,817","MILLERTOWN RCS","8402757","NL","19,9","1","ND","31,1","1","6,3","1","","","ND","73,2","1","ND","","9","","","ND","11,5","67,5"
"-59,155","47,574","PORT AUX BASQUES","8402980","NL","16,9","0","ND","23,5","0","10,3","0","","","ND","62,8","0","ND","","7","","","ND","44,4","9,6"
"-55,795","47,368","SAGONA ISLAND","8403255","NL","15,3","1","ND","23,0","1","10,4","1","","","ND","","","ND","","","","","ND","80,2","0,6"
"-56,069","51,392","ST. ANTHONY A","8403389","NL","16,5","0","ND","28,4","0","3,8","0","","","ND","83,9","0","ND","","11","","","ND","61,9","15,9"
