"Long","Lat","Nom","ID_Clim","Prov_ou_ter","Tm","JsTm","D","Tx","JsTx","Tn","JsTn","S","JsS","%NS","P","JsP","%NP","Sas","Pd","DIE","JsIE","%IE","DJC","DJR"
"-65,472","43,451","BACCARO PT","8200255","NS","12,9","0","ND","20,3","0","2,9","0","","","ND","64,1","0","ND","0,0","7","","","ND","157,7","0,0"
"-62,333","44,817","BEAVER ISLAND (AUT)","8200558","NS","12,9","0","ND","21,2","0","5,6","0","","","ND","","","ND","","","","","ND","157,9","0,0"
"-63,634","44,708","BEDFORD BASIN","8200573","NS","12,1","4","ND","22,7","4","4,3","4","","","ND","","","ND","","","","","ND","158,9","0,0"
"-63,662","44,746","BEDFORD RANGE","8200574","NS","11,2","0","ND","29,4","0","-1,0","0","","","ND","92,0","3","ND","0,0","8","","","ND","213,4","1,1"
"-66,347","44,286","BRIER ISLAND","8200604","NS","11,9","0","ND","19,5","0","6,7","0","","","ND","113,3","0","ND","","8","","","ND","189,5","0,0"
"-62,683","45,767","CARIBOU POINT (AUT)","8200774","NS","12,5","3","ND","27,3","3","4,9","3","","","ND","78,4","3","ND","","6","","","ND","158,7","4,9"
"-60,955","46,651","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","NS","10,8","0","ND","24,9","0","0,2","0","","","ND","42,6","0","ND","0,0","5","","","ND","225,1","1,3"
"-62,015","45,491","COLLEGEVILLE AUTO","8201001","NS","9,9","2","ND","29,8","2","-4,1","2","","","ND","103,4","2","ND","0,0","11","","","ND","237,2","1,5"
"-63,467","45,417","DEBERT","8201390","NS","10,5","2","ND","24,7","2","-2,0","2","","","ND","88,2","2","ND","","7","","","ND","218,9","0,0"
"-60,647","45,921","ESKASONI FIRST NATION AUTOMATIC WEATHER STATION","8201780","NS","11,9","1","ND","24,6","1","3,2","1","","","ND","63,5","1","ND","","7","","","ND","185,6","1,6"
"-61,040","46,549","GRAND ETANG","8201969","NS","11,5","0","ND","24,2","0","1,8","0","","","ND","","","ND","","","","","ND","204,4","3,6"
"-64,917","44,983","GREENWOOD A","8202000","NS","10,7","0","2,0","30,1","0","-1,0","0","0,0","0","0,0","93,0","0","94,0","","11","","","ND","230,2","2,8"
