"Long","Lat","Nom","ID_Clim","Prov_ou_ter","Tm","JsTm","D","Tx","JsTx","Tn","JsTn","S","JsS","%NS","P","JsP","%NP","Sas","Pd","DIE","JsIE","%IE","DJC","DJR"
"-135,006","68,223","AKLAVIK A","2200105","NT","13,7","1","ND","33,1","1","3,0","1","","","ND","","","ND","","","","","ND","142,1","14,0"
"-126,129","67,021","COLVILLE LAKE A","2200827","NT","13,7","0","ND","32,0","0","2,2","0","","","ND","40,2","0","ND","","4","","","ND","147,1","14,8"
"-123,433","65,209","DELINE CS","2201022","NT","13,8","1","ND","30,8","1","-0,6","1","","","ND","18,3","1","ND","","7","","","ND","145,5","19,6"
"-123,436","65,211","DELINE A","2201023","NT","13,9","0","ND","30,5","0","-1,2","0","","","ND","","","ND","","","","","ND","148,4","20,4"
"-124,468","61,257","DEADMEN VALLEY","22010H0","NT","15,6","2","ND","34,9","2","1,9","2","","","ND","46,7","3","ND","","6","","","ND","83,6","13,3"
"-128,648","66,241","FORT GOOD HOPE A","2201406","NT","14,3","4","ND","33,4","4","2,2","4","","","ND","","","ND","","","","","ND","107,5","8,1"
"-128,644","66,242","FORT GOOD HOPE CS","2201450","NT","15,7","1","ND","37,0","1","2,1","1","","","ND","6,4","1","ND","","3","","","ND","101,2","31,0"
"-123,467","60,233","FORT LIARD","2201579","NT","17,0","0","ND","32,5","0","3,1","0","","","ND","9,5","0","ND","","5","","","ND","56,0","24,6"
"-123,470","60,236","FORT LIARD A","2201581","NT","17,1","0","ND","32,5","0","3,1","0","","","ND","","","ND","","","","","ND","53,6","25,7"
"-134,860","67,407","FORT MCPHERSON A","2201606","NT","14,7","0","ND","35,1","0","3,3","0","","","ND","","","ND","","","","","ND","130,8","29,3"
"-125,569","64,910","TULITA A","2201705","NT","16,4","0","ND","34,6","0","5,5","0","","","ND","","","ND","","","","","ND","86,2","37,0"
"-117,602","61,317","FORT PROVIDENCE","2201799","NT","16,8","1","ND","31,6","1","1,1","1","","","ND","","","ND","","","","","ND","67,2","31,8"
"-109,168","62,711","FORT RELIANCE (AUT)","2201903","NT","15,7","10","ND","29,1","10","7,6","10","","","ND","","","ND","","","","","ND","65,0","17,4"
"-113,690","61,181","FORT RESOLUTION A","2202010","NT","15,6","1","ND","32,7","1","1,1","1","","","ND","","","ND","","","","","ND","97,1","25,6"
"-121,237","61,760","FORT SIMPSON CLIMATE","2202102","NT","16,8","0","ND","33,3","0","2,5","0","","","ND","2,1","0","ND","","1","","","ND","71,7","35,8"
"-121,237","61,760","FORT SIMPSON A","2202103","NT","15,8","21","ND","26,8","21","6,3","21","0,0","19","ND","4,6","19","ND","","1","","","ND","25,4","3,5"
