"Long","Lat","Nom","ID_Clim","Prov_ou_ter","Tm","JsTm","D","Tx","JsTx","Tn","JsTn","S","JsS","%NS","P","JsP","%NP","Sas","Pd","DIE","JsIE","%IE","DJC","DJR"
"-94,072","61,094","ARVIAT A","2300427","NU","-24,9","0","ND","-12,4","0","-34,8","0","","","ND","13,1","8","ND","","2","","","ND","1329,3","0,0"
"-96,000","64,317","BAKER LAKE CLIMATE","2300501","NU","-26,0","0","ND","-16,5","0","-35,0","0","","","ND","","","ND","","","","","ND","1363,7","0,0"
"-96,078","64,299","BAKER LAKE A","2300503","NU","-26,4","18","ND","-18,8","18","-32,9","18","0,8","8","ND","0,8","8","ND","35,0","0","","","ND","577,6","0,0"
"-96,078","64,299","BAKER LAKE A","2300504","NU","-26,4","21","ND","-19,3","21","-32,8","21","","","ND","","","ND","","","","","ND","444,0","0,0"
"-108,015","66,838","BATHURST INLET","2300551","NU","-23,0","3","ND","-13,9","3","-32,4","3","","","ND","5,2","3","ND","16,0","2","","","ND","1148,0","0,0"
"-90,732","63,345","CHESTERFIELD INLET AIRPORT","2300708","NU","-24,4","2","ND","-13,0","2","-35,0","2","","","ND","0,9","15","ND","16,0","0","","","ND","1229,0","0,0"
"-90,731","63,347","CHESTERFIELD INLET A","2300710","NU","-24,3","0","ND","-12,9","0","-35,4","0","","","ND","","","ND","","","","","ND","1312,8","0,0"
"-115,144","67,817","KUGLUKTUK A","2300903","NU","-26,1","8","ND","-16,9","8","-34,4","8","17,1","7","ND","7,2","17","ND","44,0","3","","","ND","1013,4","0,0"
"-115,135","67,817","KUGLUKTUK CLIMATE","2300904","NU","-25,5","1","ND","-16,6","1","-34,2","1","","","ND","5,2","1","ND","9,0","1","","","ND","1305,0","0,0"
"-115,144","67,817","KUGLUKTUK A","2300905","NU","-25,6","0","ND","-16,9","0","-34,4","0","","","ND","","","ND","","","","","ND","1350,9","0,0"
"-83,359","64,193","CORAL HARBOUR A","2301002","NU","-24,2","12","ND","-15,1","12","-33,3","12","9,4","3","ND","8,8","3","ND","45,0","2","","","ND","801,0","0,0"
"-83,359","64,193","CORAL HARBOUR A","2301004","NU","-23,4","0","ND","-9,0","0","-33,3","0","","","ND","","","ND","","","","","ND","1283,9","0,0"
"-83,350","64,183","CORAL HARBOUR RCS","2301010","NU","-23,1","1","ND","-8,9","1","-32,7","1","","","ND","35,6","18","ND","56,0","4","","","ND","1231,5","0,0"
"-100,884","61,132","ENNADAI LAKE (AUT)","2301102","NU","-24,0","1","ND","-5,3","1","-35,4","1","","","ND","1,5","1","ND","","0","","","ND","1261,3","0,0"
"-94,067","61,100","ARVIAT CLIMATE","2301153","NU","-24,9","0","ND","-12,8","0","-34,7","0","","","ND","3,2","0","ND","33,0","1","","","ND","1329,5","0,0"
"-95,850","68,636","GJOA HAVEN A","2302337","NU","-25,8","0","ND","-11,4","0","-38,6","0","","","ND","5,7","0","ND","","2","","","ND","1358,2","0,0"
"-95,850","68,636","GJOA HAVEN CLIMATE","2302340","NU","-25,4","0","ND","-11,3","0","-38,2","0","","","ND","3,9","0","ND","108,0","0","","","ND","1344,4","0,0"
"-89,796","68,538","KUGAARUK CLIMATE","2303094","NU","-24,1","1","ND","-9,5","1","-40,1","1","","","ND","8,9","1","ND","11,0","4","","","ND","1263,6","0,0"
"-89,805","68,536","KUGAARUK A","2303095","NU","-24,4","0","ND","-9,5","0","-40,5","0","","","ND","","","ND","","","","","ND","1313,9","0,0"
"-92,115","62,811","RANKIN INLET A","2303405","NU","-25,1","2","ND","-15,4","2","-35,0","2","4,4","1","ND","4,4","1","ND","","2","","","ND","1250,1","0,0"
"-102,429","65,100","ROBERTSON LAKE (AUT)","2303610","NU","-26,0","3","ND","-17,3","3","-34,8","3","","","ND","0,0","1","ND","45,0","0","","","ND","1232,3","0,0"
"-79,250","56,537","SANIKILUAQ A","2303660","NU","-18,3","0","ND","1,8","0","-31,6","0","","","ND","","","ND","","","","","ND","1124,4","0,0"
"-79,260","56,537","SANIKILUAQ","2303668","NU","-18,3","3","ND","2,0","3","-31,9","3","","","ND","7,4","3","ND","3,0","1","","","ND","1015,2","0,0"
"-92,598","62,240","WHALE COVE A","2303990","NU","-24,9","2","ND","-15,3","2","-35,5","2","","","ND","","","ND","","","","","ND","1242,9","0,0"
