"Long","Lat","Nom","ID_Clim","Prov_ou_ter","Tm","JsTm","D","Tx","JsTx","Tn","JsTn","S","JsS","%NS","P","JsP","%NP","Sas","Pd","DIE","JsIE","%IE","DJC","DJR"
"-82,432","52,928","ATTAWAPISKAT A","6010400","ON","-15,8","0","ND","0,2","0","-31,5","0","","","ND","3,6","0","ND","","0","","","ND","1048,0","0,0"
"-89,897","53,818","BIG TROUT LAKE A","6010735","ON","-17,7","1","ND","1,1","1","-33,3","1","","","ND","8,8","0","ND","","4","","","ND","1070,2","0,0"
"-89,892","53,816","BIG TROUT LAKE","6010740","ON","-17,5","0","ND","1,3","0","-34,4","0","","","ND","26,3","0","ND","43,0","9","","","ND","1099,6","0,0"
"-93,221","50,631","EAR FALLS (AUT)","6012199","ON","-12,6","0","ND","7,5","0","-31,2","0","","","ND","14,5","0","ND","21,0","6","","","ND","947,5","0,0"
"-87,676","56,019","FORT SEVERN A","6012501","ON","-19,2","0","ND","1,5","0","-34,7","0","","","ND","0,7","0","ND","","0","","","ND","1152,4","0,0"
"-87,934","52,196","LANSDOWNE HOUSE A","6014351","ON","-16,0","0","ND","1,1","0","-33,3","0","","","ND","4,5","0","ND","","1","","","ND","1053,6","0,0"
"-87,936","52,196","LANSDOWNE HOUSE (AUT)","6014353","ON","-16,0","0","ND","0,9","0","-33,4","0","","","ND","13,9","0","ND","10,0","5","","","ND","1054,0","0,0"
"-91,763","53,441","MUSKRAT DAM","6015026","ON","-17,2","0","ND","1,0","0","-35,8","0","","","ND","0,7","25","ND","","0","","","ND","1090,9","0,0"
"-85,433","54,983","PEAWANUCK (AUT)","6016295","ON","-19,4","5","ND","1,4","5","-37,2","5","","","ND","17,4","5","ND","5,0","5","","","ND","971,5","0,0"
"-85,443","54,988","PEAWANUCK A","6016298","ON","-19,0","1","ND","1,3","1","-37,2","1","","","ND","2,2","1","ND","","1","","","ND","1108,5","0,0"
"-90,218","51,449","PICKLE LAKE (AUT)","6016525","ON","-14,9","0","ND","2,7","0","-31,8","0","","","ND","11,9","0","ND","13,0","4","","","ND","1018,4","0,0"
"-90,214","51,446","PICKLE LAKE A","6016528","ON","-14,8","0","ND","4,6","0","-32,2","0","","","ND","11,4","0","ND","","1","","","ND","1018,2","0,0"
"-93,793","51,067","RED LAKE A","6016971","ON","-13,5","0","ND","7,6","0","-32,5","0","","","ND","","","ND","","","","","ND","976,6","0,0"
"-93,344","53,064","SANDY LAKE A","6017401","ON","-20,6","11","ND","-4,0","11","-35,0","11","","","ND","2,8","11","ND","","1","","","ND","771,2","0,0"
"-91,316","52,944","WEAGAMOW LAKE","6019400","ON","-16,7","2","ND","2,7","2","-35,4","2","","","ND","23,9","2","ND","37,0","8","","","ND","1005,0","0,0"
"-93,967","48,633","BARWICK","6020559","ON","-10,1","0","5,2","11,0","0","-31,5","0","27,6","0","93,0","27,6","0","93,0","12,0","6","","","ND","872,3","0,0"
"-91,628","48,761","ATIKOKAN (AUT)","6020LPQ","ON","-11,1","0","ND","8,8","0","-32,4","0","","","ND","18,5","0","ND","17,0","4","","","ND","901,1","0,0"
"-93,439","48,651","FORT FRANCES RCS","6022474","ON","-10,8","0","ND","10,1","0","-32,7","0","","","ND","13,0","0","ND","18,0","4","","","ND","891,5","0,0"
"-92,744","49,828","DRYDEN REGIONAL","6032125","ON","-12,2","0","ND","6,5","0","-30,5","0","","","ND","5,7","0","ND","","2","","","ND","937,5","0,0"
"-94,378","49,791","KENORA RCS","6034073","ON","-11,8","0","ND","8,0","0","-27,6","0","","","ND","8,9","0","ND","11,0","3","","","ND","923,2","0,0"
"-94,363","49,788","KENORA A","6034076","ON","-11,8","1","ND","8,3","1","-27,3","1","22,6","0","ND","12,1","0","ND","6,0","3","","","ND","893,1","0,0"
"-93,717","49,650","RAWSON LAKE","6036904","ON","-12,6","0","3,1","4,6","0","-28,2","0","22,2","0","66,0","21,0","0","74,0","14,0","7","","","ND","947,3","0,0"
"-93,733","49,664","RAWSON LAKE (AUT)","6036907","ON","-11,9","2","ND","7,8","2","-28,4","2","","","ND","16,6","2","ND","17,0","5","","","ND","866,0","0,0"
"-94,763","49,469","ROYAL ISLAND (AUT)","6037201","ON","-11,4","0","ND","9,0","0","-31,8","0","","","ND","18,4","0","ND","13,0","4","","","ND","910,2","0,0"
"-91,908","50,114","SIOUX LOOKOUT A","6037776","ON","-13,2","0","ND","6,5","0","-32,5","0","19,4","0","ND","","","ND","","","","","ND","968,2","0,0"
"-91,906","50,114","SIOUX LOOKOUT AIRPORT","6037800","ON","-13,0","0","ND","6,5","0","-31,9","0","","","ND","16,0","0","ND","17,0","6","","","ND","962,0","0,0"
"-88,905","50,294","ARMSTRONG (AUT)","6040325","ON","-16,8","18","ND","0,2","18","-34,8","18","","","ND","7,5","21","ND","13,0","2","","","ND","452,7","0,0"
"-88,910","50,290","ARMSTRONG A","6040327","ON","-14,0","0","ND","6,3","0","-34,2","0","","","ND","3,0","0","ND","","1","","","ND","993,3","0,0"
"-88,345","49,154","CAMERON FALLS (AUT)","6041110","ON","-10,2","0","ND","5,5","0","-26,7","0","","","ND","19,3","0","ND","17,0","5","","","ND","875,5","0,0"
"-85,833","47,333","CARIBOU ISLAND (AUT)","6041222","ON","-2,9","6","ND","3,7","6","-13,5","6","","","ND","3,4","24","ND","","1","","","ND","521,7","0,0"
"-86,989","49,779","GERALDTON A","6042718","ON","-13,2","0","ND","3,1","0","-32,6","0","","","ND","7,1","0","ND","","1","","","ND","966,0","0,0"
"-86,932","49,781","GERALDTON AIRPORT","6042719","ON","-13,1","0","ND","3,2","0","-32,3","0","","","ND","12,8","0","ND","13,0","6","","","ND","962,9","0,0"
"-89,267","48,467","HAZELWOOD","6043390","ON","","","ND","","","","","31,4","0","ND","31,6","0","ND","22,0","5","","","ND","",""
"-86,346","48,757","MARATHON A","6044967","ON","-10,4","0","ND","2,8","0","-31,9","0","","","ND","","","ND","","","","","ND","880,0","0,0"
"-86,287","48,608","PUKASKWA (AUT)","6046768","ON","-9,0","0","ND","3,4","0","-29,9","0","","","ND","38,1","0","ND","12,0","11","","","ND","836,3","0,0"
"-87,092","48,816","TERRACE BAY AIRPORT","6048232","ON","-10,0","0","ND","3,7","0","-30,0","0","","","ND","24,8","0","ND","11,0","7","","","ND","867,4","0,0"
"-89,322","48,372","THUNDER BAY","6048260","ON","-10,1","0","ND","4,6","0","-30,3","0","","","ND","16,2","0","ND","","3","","","ND","869,8","0,0"
"-89,322","48,372","THUNDER BAY A","6048262","ON","-9,6","1","ND","4,6","1","-29,0","1","","","ND","","","ND","","","","","ND","829,3","0,0"
"-89,327","48,369","THUNDER BAY CS","6048268","ON","-9,6","0","ND","5,0","0","-30,0","0","","","ND","25,2","0","ND","20,0","5","","","ND","856,8","0,0"
"-90,467","49,033","UPSALA (AUT)","6049095","ON","-11,9","0","ND","6,2","0","-31,1","0","","","ND","19,8","0","ND","17,0","6","","","ND","927,2","0,0"
"-89,119","48,369","WELCOME ISLAND (AUT)","6049443","ON","-7,7","0","ND","4,7","0","-22,5","0","","","ND","","","ND","","","","","ND","796,2","0,0"
"-88,306","49,690","LITTLE FLATLAND ISLAND (AUT)","6049470","ON","-9,6","0","ND","5,3","0","-21,6","0","","","ND","15,8","0","ND","13,0","5","","","ND","856,8","0,0"
"-84,814","47,723","LAKE SUPERIOR PROVINCIAL PARK","6054425","ON","-8,6","0","ND","2,7","0","-27,6","0","","","ND","70,0","0","ND","29,0","14","","","ND","825,9","0,0"
"-84,510","46,485","SAULT STE MARIE A","6057591","ON","-5,5","0","ND","3,5","0","-22,4","0","45,4","0","ND","37,1","0","ND","13,0","11","","","ND","728,0","0,0"
"-84,517","46,478","SAULT STE. MARIE AIRPORT","6057593","ON","-5,2","0","ND","4,1","0","-21,9","0","","","ND","23,2","0","ND","4,0","7","","","ND","719,6","0,0"
"-84,786","47,967","WAWA A","6059413","ON","-8,3","0","ND","2,4","0","-24,7","0","","","ND","","","ND","","","","","ND","815,8","0,0"
"-83,347","47,820","CHAPLEAU A","6061365","ON","-9,9","0","ND","2,1","0","-28,9","0","","","ND","","","ND","","","","","ND","863,9","0,0"
"-83,356","47,819","CHAPLEAU AIRPORT","6061366","ON","-9,8","0","ND","2,2","0","-28,1","0","","","ND","22,8","0","ND","22,0","9","","","ND","860,6","0,0"
"-82,025","46,193","MASSEY","6065006","ON","-8,0","4","3,1","4,0","4","-28,0","4","69,4","4","ND","69,4","4","ND","23,0","6","","","ND","703,3","0,0"
"-80,303","46,215","MONETVILLE 2","6065252","ON","-6,9","0","ND","4,0","0","-29,0","0","59,0","0","ND","59,9","0","ND","18,0","8","","","ND","772,9","0,0"
"-80,796","46,632","SUDBURY CLIMATE","6068145","ON","-8,4","0","ND","2,2","0","-26,3","0","","","ND","23,0","0","ND","24,0","6","","","ND","819,1","0,0"
"-80,798","46,626","SUDBURY A","6068153","ON","-8,3","6","ND","0,9","6","-26,9","6","74,9","0","ND","55,8","0","ND","14,0","10","","","ND","657,9","0,0"
"-82,124","49,383","BONNER LAKE","6070QK6","ON","-12,4","0","ND","2,5","0","-32,0","0","61,3","0","ND","46,1","0","ND","35,0","12","","","ND","942,7","0,0"
"-79,849","47,695","EARLTON A","6072223","ON","-8,0","10","ND","3,4","10","-28,9","10","","","ND","7,3","1","ND","","1","","","ND","546,2","0,0"
"-79,849","47,695","EARLTON CLIMATE","6072230","ON","-9,8","0","ND","4,2","0","-28,7","0","","","ND","22,6","0","ND","13,0","7","","","ND","860,7","0,0"
