"Long","Lat","Nom","ID_Clim","Prov_ou_ter","Tm","JsTm","D","Tx","JsTx","Tn","JsTn","S","JsS","%NS","P","JsP","%NP","Sas","Pd","DIE","JsIE","%IE","DJC","DJR"
"-71,197","46,837","BEAUPORT","7010565","QC","0,1","0","ND","11,2","0","-16,2","0","","","ND","79,9","0","ND","","10","","","ND","555,3","0,0"
"-74,167","45,317","COTEAU DU LAC","7011947","QC","","","ND","15,6","0","-14,3","0","11,6","0","ND","63,6","0","ND","0,0","14","","","ND","",""
"-71,972","46,691","DESCHAMBAULT","7011983","QC","-0,5","0","ND","12,6","0","-20,1","0","","","ND","87,3","0","ND","","10","","","ND","574,5","0,0"
"-73,435","45,809","L'ASSOMPTION","7014160","QC","1,5","0","ND","13,3","0","-16,3","0","","","ND","55,0","0","ND","0,0","9","","","ND","512,1","0,0"
"-74,050","45,300","LES CEDRES","7014290","QC","","","ND","15,0","0","-14,0","0","8,0","3","ND","50,0","5","ND","0,0","9","","","ND","",""
"-73,017","46,267","LOUISEVILLE","7014332","QC","","","","10,0","0","-17,6","0","17,4","2","ND","38,2","2","ND","","7","","","ND","",""
"-74,067","45,500","OKA","7015730","QC","","","","14,0","0","-15,0","1","11,0","1","ND","50,0","3","ND","0,0","10","","","ND","",""
"-71,229","47,562","L'ETAPE","7015791","QC","-5,4","0","ND","9,3","0","-30,4","0","","","ND","56,6","1","ND","","7","","","ND","725,9","0,0"
"-71,393","46,791","QUEBEC INTL A","7016293","QC","-0,9","3","ND","8,9","3","-17,9","3","","","ND","","","ND","","","","","ND","527,8","0,0"
"-71,833","46,983","RIVIERE VERTE OUEST","7016675","QC","","","","11,7","0","-21,9","0","","","ND","","","ND","","","","","ND","",""
"-72,083","46,717","ST ALBAN","7016800","QC","","","","12,6","0","-19,6","0","37,0","14","ND","37,0","16","ND","","3","","","ND","",""
"-73,150","46,533","ST ALEXIS DES MONTS","7016816","QC","","","","13,7","0","-23,4","0","26,0","2","ND","29,0","2","ND","37,0","6","","","ND","",""
"-72,233","46,583","STE ANNE DE LA PERADE","7016840","QC","","","","14,6","0","-18,4","0","31,7","1","ND","54,6","5","ND","","5","","","ND","",""
"-73,600","46,200","STE BEATRIX","7016902","QC","","","","12,5","0","-22,8","0","23,6","1","ND","21,1","3","ND","8,0","6","","","ND","",""
"-73,350","46,350","ST CHARLES DE MANDEVILLE","7016960","QC","","","","12,3","0","-21,9","0","","","ND","","","ND","","","","","ND","",""
"-71,917","46,817","STE CHRISTINE","7017000","QC","","","ND","13,9","0","-19,6","0","62,8","0","ND","42,2","5","ND","","7","","","ND","",""
"-72,733","46,563","SHAWINIGAN","7018001","QC","0,0","0","ND","10,7","0","-18,5","0","","","ND","3,0","27","ND","","2","","","ND","559,5","0,0"
"-72,667","46,350","TROIS RIVIERES A-2","7018560","QC","","","ND","","","","","41,0","3","ND","68,7","3","ND","0,0","9","","","ND","",""
"-72,681","46,352","TROIS RIVIERES A","7018561","QC","0,1","0","ND","11,8","0","-18,4","0","","","ND","64,7","0","ND","","9","","","ND","554,9","0,0"
"-72,516","46,354","TROIS-RIVIERES","7018562","QC","0,9","0","ND","11,9","0","-14,0","0","","","ND","","","ND","","","","","ND","530,1","0,0"
"-72,683","46,367","TROIS-RIVIERES","7018563","QC","0,1","0","ND","11,8","0","-18,6","0","","","ND","59,5","0","ND","2,0","8","","","ND","553,7","0,0"
"-72,400","46,867","LAC AUX SABLES","701LEEH","QC","","","","11,3","0","-23,7","0","44,7","1","ND","59,5","2","ND","18,0","9","","","ND","",""
