"Long","Lat","Nom","ID_Clim","Prov_ou_ter","Tm","JsTm","D","Tx","JsTx","Tn","JsTn","S","JsS","%NS","P","JsP","%NP","Sas","Pd","DIE","JsIE","%IE","DJC","DJR"
"-104,710","50,201","BRATT'S LAKE CLIMATE","4010811","SK","-18,9","4","ND","4,3","4","-38,4","4","","","ND","9,7","4","ND","36,0","3","","","ND","884,9","0,0"
"-102,571","50,368","BROADVIEW","4010879","SK","-18,6","0","-6,0","4,6","0","-41,2","0","","","ND","15,8","0","172,0","24,0","3","","","ND","1023,9","0,0"
"-104,867","51,183","DUVAL","4012300","SK","-18,5","1","-7,3","5,0","1","-42,0","1","17,0","1","ND","17,0","1","ND","","4","","","ND","984,5","0,0"
"-102,966","49,210","ESTEVAN A","4012403","SK","-18,3","0","ND","6,0","0","-40,9","0","","","ND","8,2","0","ND","","3","","","ND","1016,5","0,0"
"-102,967","49,217","ESTEVAN","4012410","SK","-18,0","0","ND","6,0","0","-40,3","0","","","ND","7,8","0","ND","7,0","2","","","ND","1009,1","0,0"
"-103,650","50,550","INDIAN HEAD CDA","4013480","SK","-18,8","0","-6,8","4,5","0","-41,4","0","","","ND","9,8","0","69,0","13,0","1","","","ND","1031,3","0,0"
"-103,753","51,257","KELLIHER","4013660","SK","-18,6","0","-6,1","5,0","0","-37,0","0","14,2","0","97,0","14,2","0","94,0","32,0","4","","","ND","1025,5","0,0"
"-102,733","50,200","KIPLING","4014040","SK","-18,5","0","-6,6","3,5","0","-37,0","0","16,2","0","118,0","16,2","0","108,0","0,0","2","","","ND","1022,5","0,0"
"-105,250","51,417","LAST MOUNTAIN CS","4014156","SK","-20,2","0","-8,2","4,7","0","-45,1","0","","","ND","29,9","0","293,0","34,0","13","","","ND","1069,9","0,0"
"-104,633","52,000","LEROY","4014322","SK","-20,2","0","-6,8","3,5","0","-41,5","0","14,4","0","127,0","14,4","0","119,0","52,0","3","","","ND","1069,3","0,0"
"-103,889","51,152","LIPTON 2","4014481","SK","-18,3","6","-4,4","5,5","5","-39,0","6","10,0","5","ND","10,0","5","ND","37,0","1","","","ND","798,4","0,0"
"-105,538","50,332","MOOSE JAW CS","4015322","SK","-17,2","2","ND","5,9","2","-42,5","2","","","ND","10,3","2","ND","14,0","3","","","ND","914,0","0,0"
"-102,117","49,317","OXBOW","4015800","SK","-18,0","0","ND","6,0","0","-40,0","0","7,0","0","ND","7,0","0","ND","15,0","2","","","ND","1007,2","0,0"
"-103,983","50,567","QU'APPELLE 1","4016322","SK","-17,7","0","-6,3","6,0","0","-39,5","0","13,6","0","124,0","13,6","0","119,0","44,0","2","","","ND","999,3","0,0"
"-104,666","50,432","REGINA INTL A","4016566","SK","-19,2","0","ND","4,3","0","-39,5","0","","","ND","","","ND","","","","","ND","1042,8","0,0"
"-104,667","50,433","REGINA RCS","4016699","SK","-19,4","0","ND","3,9","0","-40,5","0","","","ND","10,8","0","ND","23,0","2","","","ND","1045,9","0,0"
