"Long","Lat","Nom","ID_Clim","Prov_ou_ter","Tm","JsTm","D","Tx","JsTx","Tn","JsTn","S","JsS","%NS","P","JsP","%NP","Sas","Pd","DIE","JsIE","%IE","DJC","DJR"
"-140,869","62,410","BEAVER CREEK A","2100155","YT","-6,5","1","ND","6,6","1","-25,7","1","","","ND","","","ND","","","","","ND","734,4","0,0"
"-139,040","61,371","BURWASH A","2100181","YT","-2,7","0","ND","14,8","0","-22,3","0","","","ND","6,0","0","ND","","2","","","ND","640,4","0,0"
"-139,017","61,367","BURWASH AIRPORT AUTO","2100184","YT","-2,6","0","ND","14,6","0","-22,2","0","","","ND","11,6","0","ND","2,0","5","","","ND","639,9","0,0"
"-136,192","62,115","CARMACKS CS","2100301","YT","-1,1","0","ND","15,7","0","-18,6","0","","","ND","33,6","0","ND","4,0","6","","","ND","592,2","0,0"
"-139,130","64,042","DAWSON CITY A","2100407","YT","-4,7","1","ND","12,7","1","-20,0","1","","","ND","","","ND","","","","","ND","681,2","0,0"
"-133,376","62,208","FARO (AUT)","2100518","YT","-1,0","0","ND","14,0","0","-19,6","0","","","ND","4,6","23","ND","","2","","","ND","590,1","0,0"
"-133,373","62,207","FARO A","2100527","YT","-0,8","1","ND","13,9","1","-17,6","1","","","ND","","","ND","","","","","ND","562,9","0,0"
"-137,580","60,773","HAINES JUNCTION","2100630","YT","-0,8","0","ND","15,9","0","-22,8","0","","","ND","","","ND","0,0","","","","ND","584,2","0,0"
"-138,913","69,568","HERSCHEL ISLAND","2100636","YT","-2,2","2","ND","2,8","2","-9,4","2","","","ND","33,3","2","ND","","8","","","ND","584,4","0,0"
"-140,150","69,164","IVVAVIK NAT. PARK","2100660","YT","-7,0","1","ND","3,7","1","-22,0","1","","","ND","22,8","1","ND","24,0","8","","","ND","750,7","0,0"
"-140,197","69,612","KOMAKUK BEACH","2100682","YT","-4,7","1","ND","4,2","1","-16,2","1","","","ND","","","ND","","","","","ND","680,7","0,0"
"-130,037","63,244","MACMILLAN PASS","2100693","YT","-4,3","1","ND","8,8","1","-21,4","1","","","ND","58,9","0","ND","2,0","10","","","ND","670,2","0,0"
"-140,848","68,801","MARGARET LAKE","2100697","YT","-9,7","1","ND","4,1","1","-30,0","1","","","ND","","","ND","17,0","","","","ND","830,2","0,0"
"-135,868","63,616","MAYO A","2100701","YT","-2,2","4","ND","16,6","4","-18,9","4","3,0","1","ND","50,8","1","ND","0,0","8","","","ND","544,2","0,0"
"-135,869","63,617","MAYO A","2100702","YT","-1,9","0","ND","16,6","0","-18,9","0","","","ND","","","ND","","","","","ND","616,5","0,0"
"-139,839","67,571","OLD CROW RCS","2100805","YT","-5,6","1","ND","5,0","1","-19,6","1","","","ND","33,3","1","ND","18,0","8","","","ND","709,2","0,0"
"-139,840","67,570","OLD CROW A","2100807","YT","-5,8","2","ND","4,7","2","-19,6","2","","","ND","","","ND","","","","","ND","689,1","0,0"
"-137,050","61,033","OTTER FALLS NCPC","2100840","YT","1,6","2","3,0","14,0","2","-19,0","2","1,0","2","ND","53,0","2","ND","0,0","7","","","ND","475,9","0,0"
"-137,367","62,817","PELLY RANCH FORT SELKIRK","2100881","YT","-1,9","0","ND","14,5","0","-19,2","0","","","ND","58,7","0","ND","3,0","16","","","ND","615,4","0,0"
"-136,218","66,981","ROCK RIVER","2100935","YT","-5,2","0","ND","9,2","0","-17,1","0","","","ND","0,2","30","ND","","0","","","ND","719,0","0,0"
"-139,127","64,061","DAWSON","2100LRP","YT","-4,4","0","ND","12,8","0","-20,0","0","","","ND","65,8","0","ND","2,0","9","","","ND","695,7","0,0"
"-132,733","60,167","TESLIN (AUT)","2101102","YT","0,7","1","ND","14,2","1","-18,3","1","","","ND","46,9","2","ND","5,0","10","","","ND","519,5","0,0"
"-132,742","60,173","TESLIN A","2101106","YT","0,7","0","ND","14,2","0","-17,5","0","","","ND","","","ND","","","","","ND","535,9","0,0"
"-128,823","60,116","WATSON LAKE A","2101201","YT","0,0","2","ND","15,2","2","-18,5","2","","","ND","","","ND","","","","","ND","522,6","0,0"
"-128,823","60,116","WATSON LAKE A","2101202","YT","0,2","0","ND","15,2","0","-18,5","0","","","ND","","","ND","","","","","ND","552,8","0,0"
"-128,832","60,116","WATSON LAKE (AUT)","2101204","YT","0,3","0","ND","15,0","0","-18,0","0","","","ND","17,9","0","ND","1,0","4","","","ND","547,3","0,0"
"-135,067","60,709","WHITEHORSE A","2101303","YT","1,1","0","ND","15,5","0","-18,2","0","","","ND","","","ND","","","","","ND","523,9","0,0"
"-135,098","60,733","WHITEHORSE AUTO","2101310","YT","0,7","1","ND","11,8","1","-18,0","1","","","ND","31,9","1","ND","","8","","","ND","519,1","0,0"
